source,target,source_title,target_title,shared_subtasks,cosine,jaccard,weighted_cosine,same_soc_major_group
25-1064.00,25-1071.00,"Geography Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",25,0.9285,0.8621,0.9488,1
25-1021.00,25-1041.00,"Computer Science Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",25,0.9266,0.8621,0.922,1
25-1041.00,25-1067.00,"Agricultural Sciences Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.9266,0.8621,0.9239,1
25-1041.00,25-1062.00,"Agricultural Sciences Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.9231,0.8571,0.9071,1
25-1031.00,25-1071.00,"Architecture Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",23,0.92,0.8519,0.9134,1
25-1063.00,25-1071.00,"Economics Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",23,0.92,0.8519,0.9063,1
25-1065.00,25-1071.00,"Political Science Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",23,0.92,0.8519,0.9112,1
25-1042.00,25-1043.00,"Biological Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",27,0.9164,0.8438,0.9361,1
25-1042.00,25-1053.00,"Biological Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",27,0.9164,0.8438,0.9304,1
25-1042.00,25-1054.00,"Biological Science Teachers, Postsecondary","Physics Teachers, Postsecondary",27,0.9164,0.8438,0.9328,1
25-1053.00,25-1061.00,"Environmental Science Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",27,0.9164,0.8438,0.908,1
25-1041.00,25-1042.00,"Agricultural Sciences Teachers, Postsecondary","Biological Science Teachers, Postsecondary",26,0.9158,0.8387,0.9302,1
25-1041.00,25-1072.00,"Agricultural Sciences Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.9158,0.8387,0.9232,1
25-1021.00,25-1064.00,"Computer Science Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.9124,0.8387,0.9109,1
25-1032.00,25-1043.00,"Engineering Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",26,0.9124,0.8387,0.9531,1
25-1032.00,25-1053.00,"Engineering Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",26,0.9124,0.8387,0.9444,1
25-1032.00,25-1054.00,"Engineering Teachers, Postsecondary","Physics Teachers, Postsecondary",26,0.9124,0.8387,0.942,1
25-1043.00,25-1064.00,"Forestry and Conservation Science Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.9124,0.8387,0.9418,1
25-1051.00,25-1054.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Physics Teachers, Postsecondary",26,0.9124,0.8387,0.9448,1
25-1053.00,25-1064.00,"Environmental Science Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.9124,0.8387,0.9331,1
25-1054.00,25-1064.00,"Physics Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.9124,0.8387,0.9334,1
25-1021.00,25-1071.00,"Computer Science Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",24,0.9071,0.8276,0.9104,1
25-1031.00,25-1043.00,"Architecture Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",24,0.9071,0.8276,0.8987,1
25-1031.00,25-1053.00,"Architecture Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",24,0.9071,0.8276,0.9043,1
25-1031.00,25-1054.00,"Architecture Teachers, Postsecondary","Physics Teachers, Postsecondary",24,0.9071,0.8276,0.892,1
25-1031.00,25-1067.00,"Architecture Teachers, Postsecondary","Sociology Teachers, Postsecondary",24,0.9071,0.8276,0.9062,1
25-1043.00,25-1063.00,"Forestry and Conservation Science Teachers, Postsecondary","Economics Teachers, Postsecondary",24,0.9071,0.8276,0.8916,1
25-1043.00,25-1065.00,"Forestry and Conservation Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.9071,0.8276,0.8915,1
25-1053.00,25-1063.00,"Environmental Science Teachers, Postsecondary","Economics Teachers, Postsecondary",24,0.9071,0.8276,0.8996,1
25-1053.00,25-1065.00,"Environmental Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.9071,0.8276,0.9002,1
25-1054.00,25-1063.00,"Physics Teachers, Postsecondary","Economics Teachers, Postsecondary",24,0.9071,0.8276,0.8865,1
25-1054.00,25-1065.00,"Physics Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.9071,0.8276,0.8904,1
25-1067.00,25-1071.00,"Sociology Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",24,0.9071,0.8276,0.9116,1
25-1062.00,25-1071.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",23,0.9021,0.8214,0.9019,1
25-1042.00,25-1051.00,"Biological Science Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",27,0.9005,0.8182,0.9288,1
25-1042.00,25-1071.00,"Biological Science Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",25,0.898,0.8065,0.926,1
25-1061.00,25-1063.00,"Anthropology and Archeology Teachers, Postsecondary","Economics Teachers, Postsecondary",25,0.898,0.8065,0.8966,1
25-1061.00,25-1065.00,"Anthropology and Archeology Teachers, Postsecondary","Political Science Teachers, Postsecondary",25,0.898,0.8065,0.8969,1
25-1071.00,25-1072.00,"Health Specialties Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25,0.898,0.8065,0.9071,1
25-1032.00,25-1051.00,"Engineering Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",26,0.8966,0.8125,0.9411,1
25-1032.00,25-1064.00,"Engineering Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.8966,0.8125,0.9335,1
25-1051.00,25-1064.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.8966,0.8125,0.934,1
25-1021.00,25-1043.00,"Computer Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",25,0.8929,0.8065,0.8997,1
25-1021.00,25-1053.00,"Computer Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",25,0.8929,0.8065,0.8971,1
25-1021.00,25-1054.00,"Computer Science Teachers, Postsecondary","Physics Teachers, Postsecondary",25,0.8929,0.8065,0.8933,1
25-1043.00,25-1067.00,"Forestry and Conservation Science Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8929,0.8065,0.9018,1
25-1053.00,25-1067.00,"Environmental Science Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8929,0.8065,0.9069,1
25-1054.00,25-1067.00,"Physics Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8929,0.8065,0.8961,1
25-1022.00,25-1071.00,"Mathematical Science Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",24,0.8913,0.8,0.8956,1
25-1031.00,25-1032.00,"Architecture Teachers, Postsecondary","Engineering Teachers, Postsecondary",24,0.8913,0.8,0.8954,1
25-1031.00,25-1051.00,"Architecture Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",24,0.8913,0.8,0.8896,1
25-1031.00,25-1064.00,"Architecture Teachers, Postsecondary","Geography Teachers, Postsecondary",24,0.8913,0.8,0.889,1
25-1032.00,25-1063.00,"Engineering Teachers, Postsecondary","Economics Teachers, Postsecondary",24,0.8913,0.8,0.8922,1
25-1032.00,25-1065.00,"Engineering Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.8913,0.8,0.8904,1
25-1051.00,25-1063.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Economics Teachers, Postsecondary",24,0.8913,0.8,0.884,1
25-1051.00,25-1065.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.8913,0.8,0.8877,1
25-1063.00,25-1064.00,"Economics Teachers, Postsecondary","Geography Teachers, Postsecondary",24,0.8913,0.8,0.8868,1
25-1064.00,25-1065.00,"Geography Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.8913,0.8,0.8889,1
25-1043.00,25-1062.00,"Forestry and Conservation Science Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.8895,0.8,0.8822,1
25-1053.00,25-1062.00,"Environmental Science Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.8895,0.8,0.8904,1
25-1054.00,25-1062.00,"Physics Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.8895,0.8,0.8806,1
25-1062.00,25-1067.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Sociology Teachers, Postsecondary",24,0.8895,0.8,0.8943,1
29-1216.00,29-1218.00,General Internal Medicine Physicians,Obstetricians and Gynecologists,19,0.884,0.7917,0.8631,1
25-1043.00,25-1061.00,"Forestry and Conservation Science Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",26,0.8825,0.7879,0.8752,1
25-1043.00,25-1072.00,"Forestry and Conservation Science Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8825,0.7879,0.9036,1
25-1053.00,25-1072.00,"Environmental Science Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8825,0.7879,0.8981,1
25-1054.00,25-1072.00,"Physics Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8825,0.7879,0.894,1
25-1061.00,25-1067.00,"Anthropology and Archeology Teachers, Postsecondary","Sociology Teachers, Postsecondary",26,0.8825,0.7879,0.899,1
25-1041.00,25-1061.00,"Agricultural Sciences Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",25,0.8806,0.7812,0.8757,1
25-1042.00,25-1062.00,"Biological Science Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25,0.8806,0.7812,0.8692,1
25-1061.00,25-1066.00,"Anthropology and Archeology Teachers, Postsecondary","Psychology Teachers, Postsecondary",29,0.8804,0.7838,0.8678,1
25-1021.00,25-1032.00,"Computer Science Teachers, Postsecondary","Engineering Teachers, Postsecondary",25,0.8773,0.7812,0.8974,1
25-1021.00,25-1051.00,"Computer Science Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25,0.8773,0.7812,0.8871,1
25-1032.00,25-1067.00,"Engineering Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8773,0.7812,0.8981,1
25-1051.00,25-1067.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8773,0.7812,0.8955,1
25-1064.00,25-1067.00,"Geography Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8773,0.7812,0.8887,1
25-1052.00,25-1053.00,"Chemistry Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",27,0.8751,0.7714,0.871,1
25-1041.00,25-1052.00,"Agricultural Sciences Teachers, Postsecondary","Chemistry Teachers, Postsecondary",26,0.8745,0.7647,0.865,1
25-1022.00,25-1041.00,"Mathematical Science Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",24,0.874,0.7742,0.8853,1
25-1032.00,25-1062.00,"Engineering Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.874,0.7742,0.8808,1
25-1051.00,25-1062.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.874,0.7742,0.877,1
25-1062.00,25-1064.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Geography Teachers, Postsecondary",24,0.874,0.7742,0.8786,1
25-1021.00,25-1031.00,"Computer Science Teachers, Postsecondary","Architecture Teachers, Postsecondary",23,0.8693,0.7667,0.8485,1
25-1021.00,25-1063.00,"Computer Science Teachers, Postsecondary","Economics Teachers, Postsecondary",23,0.8693,0.7667,0.8456,1
25-1021.00,25-1065.00,"Computer Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",23,0.8693,0.7667,0.8418,1
25-1022.00,25-1072.00,"Mathematical Science Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8671,0.7647,0.8655,1
25-1032.00,25-1042.00,"Engineering Teachers, Postsecondary","Biological Science Teachers, Postsecondary",26,0.8671,0.7647,0.9065,1
25-1032.00,25-1072.00,"Engineering Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8671,0.7647,0.8939,1
25-1042.00,25-1064.00,"Biological Science Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.8671,0.7647,0.8994,1
25-1051.00,25-1061.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",26,0.8671,0.7647,0.8626,1
25-1051.00,25-1072.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8671,0.7647,0.8958,1
25-1064.00,25-1072.00,"Geography Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8671,0.7647,0.8849,1
25-1053.00,25-1066.00,"Environmental Science Teachers, Postsecondary","Psychology Teachers, Postsecondary",27,0.8625,0.75,0.8447,1
25-1031.00,25-1042.00,"Architecture Teachers, Postsecondary","Biological Science Teachers, Postsecondary",24,0.8621,0.75,0.8587,1
25-1031.00,25-1061.00,"Architecture Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",24,0.8621,0.75,0.8457,1
25-1031.00,25-1072.00,"Architecture Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",24,0.8621,0.75,0.8537,1
25-1042.00,25-1063.00,"Biological Science Teachers, Postsecondary","Economics Teachers, Postsecondary",24,0.8621,0.75,0.8536,1
25-1042.00,25-1065.00,"Biological Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.8621,0.75,0.8571,1
25-1061.00,25-1071.00,"Anthropology and Archeology Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",24,0.8621,0.75,0.8653,1
25-1063.00,25-1072.00,"Economics Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",24,0.8621,0.75,0.847,1
25-1065.00,25-1072.00,"Political Science Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",24,0.8621,0.75,0.8437,1
25-1051.00,25-1052.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Chemistry Teachers, Postsecondary",27,0.8599,0.75,0.8703,1
19-3039.02,19-3039.03,Neuropsychologists,Clinical Neuropsychologists,12,0.8593,0.75,0.9045,1
29-1242.00,29-1243.00,"Orthopedic Surgeons, Except Pediatric",Pediatric Surgeons,18,0.8581,0.75,0.0,1
25-1052.00,25-1071.00,"Chemistry Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",25,0.8575,0.7353,0.8611,1
25-1021.00,25-1067.00,"Computer Science Teachers, Postsecondary","Sociology Teachers, Postsecondary",24,0.8571,0.75,0.8498,1
25-1022.00,25-1031.00,"Mathematical Science Teachers, Postsecondary","Architecture Teachers, Postsecondary",23,0.8542,0.7419,0.8583,1
25-1022.00,25-1063.00,"Mathematical Science Teachers, Postsecondary","Economics Teachers, Postsecondary",23,0.8542,0.7419,0.8551,1
25-1022.00,25-1065.00,"Mathematical Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",23,0.8542,0.7419,0.8648,1
25-1021.00,25-1062.00,"Computer Science Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",23,0.8524,0.7419,0.8372,1
25-1021.00,25-1042.00,"Computer Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",25,0.8486,0.7353,0.8598,1
25-1021.00,25-1072.00,"Computer Science Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25,0.8486,0.7353,0.8527,1
25-1042.00,25-1067.00,"Biological Science Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8486,0.7353,0.8632,1
25-1054.00,25-1061.00,"Physics Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",25,0.8486,0.7353,0.8472,1
25-1067.00,25-1072.00,"Sociology Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25,0.8486,0.7353,0.8577,1
25-1061.00,25-1062.00,"Anthropology and Archeology Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.8454,0.7273,0.8343,1
25-1062.00,25-1072.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",24,0.8454,0.7273,0.838,1
25-1063.00,25-1066.00,"Economics Teachers, Postsecondary","Psychology Teachers, Postsecondary",25,0.8452,0.7143,0.8405,1
25-1065.00,25-1066.00,"Political Science Teachers, Postsecondary","Psychology Teachers, Postsecondary",25,0.8452,0.7143,0.8408,1
29-1216.00,29-1221.00,General Internal Medicine Physicians,"Pediatricians, General",19,0.8447,0.7308,0.8335,1
25-1043.00,25-1052.00,"Forestry and Conservation Science Teachers, Postsecondary","Chemistry Teachers, Postsecondary",26,0.8427,0.7222,0.8525,1
25-1052.00,25-1054.00,"Chemistry Teachers, Postsecondary","Physics Teachers, Postsecondary",26,0.8427,0.7222,0.8456,1
25-1022.00,25-1043.00,"Mathematical Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",24,0.8422,0.7273,0.8734,1
25-1022.00,25-1053.00,"Mathematical Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",24,0.8422,0.7273,0.8687,1
25-1022.00,25-1054.00,"Mathematical Science Teachers, Postsecondary","Physics Teachers, Postsecondary",24,0.8422,0.7273,0.8748,1
25-1042.00,25-1061.00,"Biological Science Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",26,0.8387,0.7222,0.8362,1
25-1042.00,25-1072.00,"Biological Science Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8387,0.7222,0.8641,1
25-1022.00,25-1062.00,"Mathematical Science Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",23,0.8376,0.7188,0.8535,1
25-1032.00,25-1061.00,"Engineering Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",25,0.8338,0.7143,0.8535,1
25-1061.00,25-1064.00,"Anthropology and Archeology Teachers, Postsecondary","Geography Teachers, Postsecondary",25,0.8338,0.7143,0.8369,1
25-1043.00,25-1066.00,"Forestry and Conservation Science Teachers, Postsecondary","Psychology Teachers, Postsecondary",26,0.8305,0.7027,0.8139,1
25-1066.00,25-1067.00,"Psychology Teachers, Postsecondary","Sociology Teachers, Postsecondary",26,0.8305,0.7027,0.8426,1
25-1041.00,25-1066.00,"Agricultural Sciences Teachers, Postsecondary","Psychology Teachers, Postsecondary",25,0.8287,0.6944,0.817,1
25-1032.00,25-1052.00,"Engineering Teachers, Postsecondary","Chemistry Teachers, Postsecondary",26,0.828,0.7027,0.8435,1
25-1052.00,25-1064.00,"Chemistry Teachers, Postsecondary","Geography Teachers, Postsecondary",26,0.828,0.7027,0.8349,1
25-1022.00,25-1032.00,"Mathematical Science Teachers, Postsecondary","Engineering Teachers, Postsecondary",24,0.8276,0.7059,0.8649,1
25-1022.00,25-1051.00,"Mathematical Science Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",24,0.8276,0.7059,0.8717,1
25-1022.00,25-1064.00,"Mathematical Science Teachers, Postsecondary","Geography Teachers, Postsecondary",24,0.8276,0.7059,0.8695,1
25-1031.00,25-1052.00,"Architecture Teachers, Postsecondary","Chemistry Teachers, Postsecondary",24,0.8232,0.6857,0.7941,1
25-1052.00,25-1063.00,"Chemistry Teachers, Postsecondary","Economics Teachers, Postsecondary",24,0.8232,0.6857,0.7882,1
25-1052.00,25-1065.00,"Chemistry Teachers, Postsecondary","Political Science Teachers, Postsecondary",24,0.8232,0.6857,0.7901,1
29-1218.00,29-1221.00,Obstetricians and Gynecologists,"Pediatricians, General",18,0.819,0.6923,0.7899,1
25-1051.00,25-1066.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Psychology Teachers, Postsecondary",26,0.8161,0.6842,0.8045,1
25-1021.00,25-1061.00,"Computer Science Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",24,0.8146,0.6857,0.8034,1
25-1031.00,25-1066.00,"Architecture Teachers, Postsecondary","Psychology Teachers, Postsecondary",24,0.8113,0.6667,0.7927,1
25-1066.00,25-1071.00,"Psychology Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",24,0.8113,0.6667,0.8124,1
25-1021.00,25-1052.00,"Computer Science Teachers, Postsecondary","Chemistry Teachers, Postsecondary",25,0.8103,0.6757,0.7982,1
25-1052.00,25-1067.00,"Chemistry Teachers, Postsecondary","Sociology Teachers, Postsecondary",25,0.8103,0.6757,0.7981,1
25-1052.00,25-1062.00,"Chemistry Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24,0.8072,0.6667,0.7812,1
25-1021.00,25-1022.00,"Computer Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",23,0.8071,0.6765,0.8197,1
25-1022.00,25-1067.00,"Mathematical Science Teachers, Postsecondary","Sociology Teachers, Postsecondary",23,0.8071,0.6765,0.8263,1
25-1061.00,25-1072.00,"Anthropology and Archeology Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25,0.8065,0.6757,0.807,1
25-1042.00,25-1052.00,"Biological Science Teachers, Postsecondary","Chemistry Teachers, Postsecondary",26,0.8009,0.6667,0.815,1
25-1052.00,25-1061.00,"Chemistry Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",26,0.8009,0.6667,0.7783,1
25-1052.00,25-1072.00,"Chemistry Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",26,0.8009,0.6667,0.8016,1
25-1022.00,25-1042.00,"Mathematical Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",24,0.8004,0.6667,0.8413,1
25-1054.00,25-1066.00,"Physics Teachers, Postsecondary","Psychology Teachers, Postsecondary",25,0.7986,0.6579,0.7918,1
25-1062.00,25-1066.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Psychology Teachers, Postsecondary",24,0.7956,0.6486,0.7818,1
25-1042.00,25-1066.00,"Biological Science Teachers, Postsecondary","Psychology Teachers, Postsecondary",26,0.7893,0.65,0.7783,1
25-1032.00,25-1066.00,"Engineering Teachers, Postsecondary","Psychology Teachers, Postsecondary",25,0.7847,0.641,0.795,1
25-1064.00,25-1066.00,"Geography Teachers, Postsecondary","Psychology Teachers, Postsecondary",25,0.7847,0.641,0.7838,1
29-1215.00,29-1218.00,Family Medicine Physicians,Obstetricians and Gynecologists,15,0.7715,0.625,0.7596,1
25-1022.00,25-1061.00,"Mathematical Science Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",23,0.7671,0.6216,0.7727,1
25-1021.00,25-1066.00,"Computer Science Teachers, Postsecondary","Psychology Teachers, Postsecondary",24,0.7667,0.6154,0.757,1
25-1022.00,25-1052.00,"Mathematical Science Teachers, Postsecondary","Chemistry Teachers, Postsecondary",24,0.7643,0.6154,0.7797,1
25-1066.00,25-1072.00,"Psychology Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",25,0.759,0.6098,0.7549,1
29-1215.00,29-1216.00,Family Medicine Physicians,General Internal Medicine Physicians,15,0.7538,0.6,0.7577,1
