onet_soc_code,stem_category_id,stem_category_name,parent_category_name
29-1212.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1213.00,1,"Research, Development, Design, and Practitioners",
29-1213.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1214.00,1,"Research, Development, Design, and Practitioners",
29-1214.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1215.00,1,"Research, Development, Design, and Practitioners",
29-1215.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1216.00,1,"Research, Development, Design, and Practitioners",
29-1216.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1217.00,1,"Research, Development, Design, and Practitioners",
29-1217.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1218.00,1,"Research, Development, Design, and Practitioners",
29-1218.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1221.00,1,"Research, Development, Design, and Practitioners",
29-1221.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1222.00,1,"Research, Development, Design, and Practitioners",
29-1222.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1223.00,1,"Research, Development, Design, and Practitioners",
29-1223.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1224.00,1,"Research, Development, Design, and Practitioners",
29-1224.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1229.00,1,"Research, Development, Design, and Practitioners",
29-1229.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1229.01,1,"Research, Development, Design, and Practitioners",
29-1229.01,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1229.02,1,"Research, Development, Design, and Practitioners",
29-1229.02,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1229.03,1,"Research, Development, Design, and Practitioners",
29-1229.03,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1229.04,1,"Research, Development, Design, and Practitioners",
29-1229.04,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1229.05,1,"Research, Development, Design, and Practitioners",
29-1229.05,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1229.06,1,"Research, Development, Design, and Practitioners",
29-1229.06,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1241.00,1,"Research, Development, Design, and Practitioners",
29-1241.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1242.00,1,"Research, Development, Design, and Practitioners",
29-1242.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1243.00,1,"Research, Development, Design, and Practitioners",
29-1243.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1249.00,1,"Research, Development, Design, and Practitioners",
29-1249.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1291.00,1,"Research, Development, Design, and Practitioners",
29-1291.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1292.00,1,"Research, Development, Design, and Practitioners",
29-1292.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1299.00,1,"Research, Development, Design, and Practitioners",
29-1299.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1299.01,1,"Research, Development, Design, and Practitioners",
29-1299.01,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-1299.02,1,"Research, Development, Design, and Practitioners",
29-1299.02,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-2011.00,2,Technologists and Technicians,
29-2011.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2011.01,2,Technologists and Technicians,
29-2011.01,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2011.02,2,Technologists and Technicians,
29-2011.02,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2011.04,2,Technologists and Technicians,
29-2011.04,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2012.00,2,Technologists and Technicians,
29-2012.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2012.01,2,Technologists and Technicians,
29-2012.01,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2031.00,2,Technologists and Technicians,
29-2031.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2032.00,2,Technologists and Technicians,
29-2032.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2033.00,2,Technologists and Technicians,
29-2033.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2034.00,2,Technologists and Technicians,
29-2034.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2035.00,2,Technologists and Technicians,
29-2035.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2036.00,2,Technologists and Technicians,
29-2036.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2042.00,2,Technologists and Technicians,
29-2042.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2043.00,2,Technologists and Technicians,
29-2043.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2051.00,2,Technologists and Technicians,
29-2051.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2052.00,2,Technologists and Technicians,
29-2052.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2053.00,2,Technologists and Technicians,
29-2053.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2055.00,2,Technologists and Technicians,
29-2055.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2056.00,2,Technologists and Technicians,
29-2056.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2057.00,2,Technologists and Technicians,
29-2057.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2061.00,2,Technologists and Technicians,
29-2061.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2072.00,2,Technologists and Technicians,
29-2072.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2081.00,2,Technologists and Technicians,
29-2081.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2091.00,2,Technologists and Technicians,
29-2091.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2092.00,2,Technologists and Technicians,
29-2092.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2099.00,2,Technologists and Technicians,
29-2099.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2099.01,2,Technologists and Technicians,
29-2099.01,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2099.05,2,Technologists and Technicians,
29-2099.05,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-2099.08,2,Technologists and Technicians,
29-2099.08,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-9021.00,1,"Research, Development, Design, and Practitioners",
29-9021.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-9021.00,2,Technologists and Technicians,
29-9021.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-9091.00,1,"Research, Development, Design, and Practitioners",
29-9091.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-9092.00,1,"Research, Development, Design, and Practitioners",
29-9092.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-9093.00,1,"Research, Development, Design, and Practitioners",
29-9093.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-9099.00,1,"Research, Development, Design, and Practitioners",
29-9099.00,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-9099.00,2,Technologists and Technicians,
29-9099.00,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
29-9099.01,1,"Research, Development, Design, and Practitioners",
29-9099.01,1-3,Healthcare Practitioners and Technical,"Research, Development, Design, and Practitioners"
29-9099.01,2,Technologists and Technicians,
29-9099.01,2-3,Healthcare Practitioners and Technical,Technologists and Technicians
41-4011.00,5,Sales,
41-4011.07,5,Sales,
41-9031.00,5,Sales,
