onet_soc_code,stem_category_id,stem_category_name,parent_category_name
15-1255.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.00,1,"Research, Development, Design, and Practitioners",
15-1299.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.00,2,Technologists and Technicians,
15-1299.00,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.01,1,"Research, Development, Design, and Practitioners",
15-1299.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.01,2,Technologists and Technicians,
15-1299.01,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.02,1,"Research, Development, Design, and Practitioners",
15-1299.02,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.02,2,Technologists and Technicians,
15-1299.02,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.03,1,"Research, Development, Design, and Practitioners",
15-1299.03,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.03,2,Technologists and Technicians,
15-1299.03,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.04,1,"Research, Development, Design, and Practitioners",
15-1299.04,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.04,2,Technologists and Technicians,
15-1299.04,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.05,1,"Research, Development, Design, and Practitioners",
15-1299.05,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.05,2,Technologists and Technicians,
15-1299.05,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.06,1,"Research, Development, Design, and Practitioners",
15-1299.06,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.06,2,Technologists and Technicians,
15-1299.06,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.07,1,"Research, Development, Design, and Practitioners",
15-1299.07,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.07,2,Technologists and Technicians,
15-1299.07,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.08,1,"Research, Development, Design, and Practitioners",
15-1299.08,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.08,2,Technologists and Technicians,
15-1299.08,2-2,Computer and Mathematical,Technologists and Technicians
15-1299.09,1,"Research, Development, Design, and Practitioners",
15-1299.09,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-1299.09,2,Technologists and Technicians,
15-1299.09,2-2,Computer and Mathematical,Technologists and Technicians
15-2011.00,1,"Research, Development, Design, and Practitioners",
15-2011.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2021.00,1,"Research, Development, Design, and Practitioners",
15-2021.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2031.00,1,"Research, Development, Design, and Practitioners",
15-2031.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2041.00,1,"Research, Development, Design, and Practitioners",
15-2041.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2041.01,1,"Research, Development, Design, and Practitioners",
15-2041.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2051.00,1,"Research, Development, Design, and Practitioners",
15-2051.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2051.01,1,"Research, Development, Design, and Practitioners",
15-2051.01,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2051.02,1,"Research, Development, Design, and Practitioners",
15-2051.02,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
15-2099.00,1,"Research, Development, Design, and Practitioners",
15-2099.00,1-2,Computer and Mathematical,"Research, Development, Design, and Practitioners"
