onet_soc_code,title,susceptibility,total_employment,neighbours,best_relief,reason
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,53.4,11280.0,26,3.0,every close neighbour is about as exposed
17-3029.01,Non-Destructive Testing Specialists,53.2,59930.0,18,2.8,every close neighbour is about as exposed
19-4042.00,"Environmental Science and Protection Technicians, Including Health",53.1,34670.0,38,5.7,every close neighbour is about as exposed
19-1022.00,Microbiologists,52.7,18940.0,17,6.5,every close neighbour is about as exposed
19-1032.00,Foresters,52.7,10430.0,12,2.8,every close neighbour is about as exposed
19-4031.00,Chemical Technicians,52.7,57540.0,27,6.5,every close neighbour is about as exposed
19-3039.03,Clinical Neuropsychologists,51.7,18820.0,14,-2.0,every close neighbour is about as exposed
17-3024.01,Robotics Technicians,51.6,15520.0,24,1.2,every close neighbour is about as exposed
19-4013.00,Food Science Technicians,51.6,14600.0,11,5.4,every close neighbour is about as exposed
17-3029.08,Photonics Technicians,50.4,59930.0,35,-1.2,every close neighbour is about as exposed
19-4012.00,Agricultural Technicians,50.1,15130.0,31,3.9,every close neighbour is about as exposed
19-4071.00,Forest and Conservation Technicians,49.9,30410.0,25,0.9,every close neighbour is about as exposed
19-4051.02,Nuclear Monitoring Technicians,49.0,6470.0,19,2.8,every close neighbour is about as exposed
29-2081.00,"Opticians, Dispensing",49.0,73530.0,39,11.6,every close neighbour is about as exposed
29-1081.00,Podiatrists,48.5,9680.0,40,11.1,every close neighbour is about as exposed
29-1131.00,Veterinarians,48.3,83900.0,68,10.9,every close neighbour is about as exposed
29-1212.00,Cardiologists,48.2,17290.0,73,17.3,every close neighbour is about as exposed
29-2011.02,Cytotechnologists,48.1,332940.0,15,10.7,every close neighbour is about as exposed
19-4051.00,Nuclear Technicians,47.4,6470.0,5,-1.6,every close neighbour is about as exposed
29-2012.00,Medical and Clinical Laboratory Technicians,47.2,332940.0,29,11.4,every close neighbour is about as exposed
29-1229.03,Urologists,46.9,342720.0,63,9.5,every close neighbour is about as exposed
29-2011.00,Medical and Clinical Laboratory Technologists,46.9,332940.0,24,11.1,every close neighbour is about as exposed
19-4092.00,Forensic Science Technicians,46.2,19120.0,25,-2.8,every close neighbour is about as exposed
29-2011.04,Histotechnologists,42.7,332940.0,10,6.9,every close neighbour is about as exposed
29-2053.00,Psychiatric Technicians,42.2,156960.0,66,11.3,every close neighbour is about as exposed
29-1291.00,Acupuncturists,41.7,7830.0,44,-0.5,every close neighbour is about as exposed
29-2099.05,Ophthalmic Medical Technologists,41.7,182610.0,66,10.8,every close neighbour is about as exposed
29-2042.00,Emergency Medical Technicians,41.0,180510.0,55,10.6,every close neighbour is about as exposed
29-2043.00,Paramedics,40.1,100610.0,61,9.7,every close neighbour is about as exposed
29-2056.00,Veterinary Technologists and Technicians,39.2,129140.0,64,8.8,every close neighbour is about as exposed
29-2055.00,Surgical Technologists,38.9,117460.0,32,8.0,every close neighbour is about as exposed
29-2057.00,Ophthalmic Medical Technicians,38.6,71010.0,40,7.7,every close neighbour is about as exposed
29-1021.00,"Dentists, General",37.4,124390.0,45,7.1,every close neighbour is about as exposed
29-1071.01,Anesthesiologist Assistants,37.4,162150.0,62,6.5,every close neighbour is about as exposed
29-2092.00,Hearing Aid Specialists,37.4,11270.0,24,0.0,every close neighbour is about as exposed
29-2012.01,Histology Technicians,35.8,332940.0,5,-6.9,every close neighbour is about as exposed
29-9093.00,Surgical Assistants,30.9,22270.0,52,0.5,every close neighbour is about as exposed
29-1022.00,Oral and Maxillofacial Surgeons,30.4,4910.0,31,0.1,every close neighbour is about as exposed
29-1024.00,Prosthodontists,30.3,870.0,5,-0.1,every close neighbour is about as exposed
