onet_soc_code,title,stem_occupation_types,total_employment,tractability,resistance,recurrence,frontier_distance,stage_now,stage_now_label,stage_reachable,stage_reachable_label,pending_crossings,willingness_gap,classification,erosion_risk,surprise_potential,weighty_crossing
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners",3100.0,62.1,32.4,51.7,9.6,2,AI recommended,3,"AI executed, human veto",1,38.3,Handed off,5.8,0.4,proposing action to taking it
19-1029.03,Geneticists,"Research, Development, Design, and Practitioners",55850.0,60.0,39.9,44.3,3.6,2,AI recommended,3,"AI executed, human veto",1,33.9,Crossing now,5.9,0.4,proposing action to taking it
29-1011.00,Chiropractors,"Research, Development, Design, and Practitioners",39630.0,53.7,66.0,78.4,-17.4,1,AI informed,2,AI recommended,1,27.1,Human held,6.9,0.4,
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners",14100.0,49.6,68.7,,-16.1,1,AI informed,2,AI recommended,1,28.3,Human held,7.0,0.4,
17-2051.00,Civil Engineers,"Research, Development, Design, and Practitioners",367840.0,54.0,49.1,46.3,-0.8,1,AI informed,3,"AI executed, human veto",2,26.8,Crossing now,2.5,0.3,
17-2141.01,Fuel Cell Engineers,"Research, Development, Design, and Practitioners",296810.0,58.4,41.2,46.7,3.5,2,AI recommended,3,"AI executed, human veto",1,30.5,Crossing now,4.6,0.3,proposing action to taking it
17-3012.00,Electrical and Electronics Drafters,Technologists and Technicians,17920.0,65.1,39.5,58.5,0.6,2,AI recommended,3,"AI executed, human veto",1,23.8,Crossing now,5.3,0.3,proposing action to taking it
17-3022.00,Civil Engineering Technologists and Technicians,Technologists and Technicians,68520.0,63.0,41.6,49.5,-0.2,2,AI recommended,3,"AI executed, human veto",1,23.0,Crossing now,7.0,0.3,proposing action to taking it
19-1013.00,Soil and Plant Scientists,"Research, Development, Design, and Practitioners",15730.0,55.4,39.2,39.3,7.9,1,AI informed,3,"AI executed, human veto",2,37.1,Handed off,1.9,0.3,
19-1023.00,Zoologists and Wildlife Biologists,"Research, Development, Design, and Practitioners",18120.0,59.1,42.0,33.6,2.2,2,AI recommended,3,"AI executed, human veto",1,28.4,Crossing now,5.1,0.3,proposing action to taking it
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners",23470.0,60.1,37.6,33.8,5.8,2,AI recommended,3,"AI executed, human veto",1,27.3,Handed off,5.6,0.3,proposing action to taking it
29-1141.00,Registered Nurses,"Research, Development, Design, and Practitioners",3379720.0,51.1,67.1,67.2,-16.0,1,AI informed,2,AI recommended,1,27.4,Human held,4.9,0.3,
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners",365740.0,61.5,41.8,39.9,0.7,2,AI recommended,3,"AI executed, human veto",1,23.2,Crossing now,4.7,0.2,proposing action to taking it
17-2199.11,Solar Energy Systems Engineers,"Research, Development, Design, and Practitioners",154070.0,58.6,41.6,48.4,3.0,2,AI recommended,3,"AI executed, human veto",1,27.2,Crossing now,3.1,0.2,proposing action to taking it
19-2032.00,Materials Scientists,"Research, Development, Design, and Practitioners",8470.0,59.2,39.9,39.4,4.2,2,AI recommended,3,"AI executed, human veto",1,26.6,Crossing now,4.6,0.2,proposing action to taking it
19-2043.00,Hydrologists,"Research, Development, Design, and Practitioners",5850.0,57.9,41.1,38.9,4.0,2,AI recommended,3,"AI executed, human veto",1,28.9,Crossing now,4.0,0.2,proposing action to taking it
19-2099.01,Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners",22300.0,62.0,36.6,48.3,5.5,2,AI recommended,3,"AI executed, human veto",1,26.5,Handed off,3.7,0.2,proposing action to taking it
19-4099.01,Quality Control Analysts,Technologists and Technicians,73910.0,61.3,41.5,55.0,1.1,2,AI recommended,3,"AI executed, human veto",1,20.1,Crossing now,5.2,0.2,proposing action to taking it
15-1232.00,Computer User Support Specialists,Technologists and Technicians,717190.0,68.9,32.0,57.0,5.9,2,AI recommended,3,"AI executed, human veto",1,18.7,Handed off,3.4,0.1,proposing action to taking it
17-2171.00,Petroleum Engineers,"Research, Development, Design, and Practitioners",18060.0,58.6,46.0,44.4,-1.4,2,AI recommended,3,"AI executed, human veto",1,23.9,Crossing now,2.5,0.1,proposing action to taking it
19-4012.01,Precision Agriculture Technicians,Technologists and Technicians,15130.0,63.8,32.4,47.3,8.5,2,AI recommended,3,"AI executed, human veto",1,20.3,Handed off,2.6,0.1,proposing action to taking it
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners",83900.0,49.7,63.5,65.6,-11.0,1,AI informed,2,AI recommended,1,30.6,Human held,1.5,0.1,
29-9099.01,Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians",35010.0,47.6,69.0,56.0,-14.1,1,AI informed,2,AI recommended,1,28.3,Human held,1.8,0.1,
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,220260.0,51.2,42.0,41.5,9.0,1,AI informed,3,"AI executed, human veto",2,31.5,Handed off,0.0,0.0,
15-1231.00,Computer Network Support Specialists,Technologists and Technicians,146190.0,68.2,31.6,50.0,6.7,3,"AI executed, human veto",3,"AI executed, human veto",0,9.2,Handed off,2.3,0.0,
15-1242.00,Database Administrators,"Research, Development, Design, and Practitioners",69990.0,77.1,31.6,39.4,2.3,3,"AI executed, human veto",3,"AI executed, human veto",0,23.2,Crossing now,20.2,0.0,
15-1251.00,Computer Programmers,"Research, Development, Design, and Practitioners",92230.0,75.4,34.3,55.5,0.3,3,"AI executed, human veto",3,"AI executed, human veto",0,24.3,Crossing now,18.1,0.0,
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners",186740.0,73.9,32.8,55.0,2.5,3,"AI executed, human veto",3,"AI executed, human veto",0,17.3,Crossing now,15.0,0.0,
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners",70190.0,75.8,32.3,42.3,2.1,3,"AI executed, human veto",3,"AI executed, human veto",0,24.4,Crossing now,18.0,0.0,
15-1299.03,Document Management Specialists,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,77.3,33.0,39.8,0.8,3,"AI executed, human veto",3,"AI executed, human veto",0,29.6,Crossing now,24.1,0.0,
17-1021.00,Cartographers and Photogrammetrists,Technologists and Technicians,14260.0,58.1,30.8,61.4,14.1,3,"AI executed, human veto",2,AI recommended,-1,-7.2,Handed off,0.0,0.0,
17-1022.00,Surveyors,Technologists and Technicians,50830.0,58.1,40.6,52.6,4.3,2,AI recommended,2,AI recommended,0,3.9,Crossing now,0.0,0.0,
17-1022.01,Geodetic Surveyors,Technologists and Technicians,50830.0,64.8,35.9,51.8,4.4,3,"AI executed, human veto",3,"AI executed, human veto",0,3.4,Crossing now,0.0,0.0,
17-2071.00,Electrical Engineers,"Research, Development, Design, and Practitioners",198750.0,56.8,44.8,41.3,1.2,2,AI recommended,3,"AI executed, human veto",1,23.4,Crossing now,0.3,0.0,proposing action to taking it
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners",96900.0,61.1,36.8,42.1,5.9,2,AI recommended,3,"AI executed, human veto",1,23.2,Handed off,1.0,0.0,proposing action to taking it
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",21450.0,62.8,50.0,39.4,-8.4,2,AI recommended,2,AI recommended,0,38.2,Watch point,18.9,0.0,
17-2121.00,Marine Engineers and Naval Architects,"Research, Development, Design, and Practitioners",8250.0,59.5,42.4,33.9,1.5,2,AI recommended,3,"AI executed, human veto",1,21.1,Crossing now,0.8,0.0,proposing action to taking it
17-2199.09,Nanosystems Engineers,"Research, Development, Design, and Practitioners",154070.0,56.3,40.8,47.0,5.6,1,AI informed,3,"AI executed, human veto",2,28.9,Handed off,0.0,0.0,
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians,11280.0,50.3,37.6,51.6,14.3,2,AI recommended,2,AI recommended,0,4.1,Handed off,0.0,0.0,
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Technologists and Technicians,95130.0,60.3,38.6,45.2,4.7,2,AI recommended,3,"AI executed, human veto",1,20.1,Crossing now,0.0,0.0,proposing action to taking it
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians,15520.0,53.6,36.6,53.9,12.1,2,AI recommended,2,AI recommended,0,9.5,Handed off,0.0,0.0,
17-3024.01,Robotics Technicians,Technologists and Technicians,15520.0,49.1,35.0,39.7,18.2,2,AI recommended,2,AI recommended,0,5.2,Human held,0.0,0.0,
17-3025.00,Environmental Engineering Technologists and Technicians,Technologists and Technicians,12190.0,54.7,41.6,51.2,6.1,2,AI recommended,3,"AI executed, human veto",1,11.4,Handed off,0.0,0.0,proposing action to taking it
17-3026.00,Industrial Engineering Technologists and Technicians,Technologists and Technicians,75570.0,57.0,43.0,52.2,2.8,2,AI recommended,3,"AI executed, human veto",1,21.1,Crossing now,0.0,0.0,proposing action to taking it
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians,75570.0,51.7,34.8,41.8,15.7,2,AI recommended,2,AI recommended,0,4.6,Handed off,0.0,0.0,
17-3027.00,Mechanical Engineering Technologists and Technicians,Technologists and Technicians,36190.0,61.7,37.5,47.1,4.8,2,AI recommended,3,"AI executed, human veto",1,16.9,Crossing now,1.0,0.0,proposing action to taking it
17-3027.01,Automotive Engineering Technicians,Technologists and Technicians,36190.0,54.4,35.2,56.0,12.8,2,AI recommended,2,AI recommended,0,7.7,Handed off,0.0,0.0,
17-3028.00,Calibration Technologists and Technicians,Technologists and Technicians,16540.0,54.8,34.0,57.8,13.6,2,AI recommended,2,AI recommended,0,10.8,Handed off,0.0,0.0,
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians,59930.0,50.5,37.0,75.2,14.7,2,AI recommended,2,AI recommended,0,-6.5,Handed off,0.0,-0.0,
17-3029.08,Photonics Technicians,Technologists and Technicians,59930.0,46.5,32.8,46.4,23.3,2,AI recommended,2,AI recommended,0,-1.4,Human held,0.0,-0.0,
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians,58010.0,57.6,34.4,58.8,10.9,2,AI recommended,2,AI recommended,0,-4.4,Handed off,0.0,-0.0,
19-1012.00,Food Scientists and Technologists,"Research, Development, Design, and Practitioners",13060.0,53.5,41.4,46.4,7.4,2,AI recommended,3,"AI executed, human veto",1,26.4,Handed off,0.0,0.0,proposing action to taking it
19-1021.00,Biochemists and Biophysicists,"Research, Development, Design, and Practitioners",33830.0,52.3,38.6,45.6,11.3,1,AI informed,3,"AI executed, human veto",2,30.9,Handed off,0.0,0.0,
19-1022.00,Microbiologists,"Research, Development, Design, and Practitioners",18940.0,46.6,38.5,65.0,17.5,2,AI recommended,2,AI recommended,0,15.9,Human held,0.0,0.0,
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners",25950.0,54.7,45.6,30.7,2.1,1,AI informed,3,"AI executed, human veto",2,33.1,Crossing now,0.0,0.0,
19-1031.03,Park Naturalists,"Research, Development, Design, and Practitioners",25950.0,61.7,37.6,46.2,4.7,2,AI recommended,3,"AI executed, human veto",1,18.3,Crossing now,0.0,0.0,proposing action to taking it
19-1032.00,Foresters,"Research, Development, Design, and Practitioners",10430.0,51.4,47.3,31.4,3.5,1,AI informed,3,"AI executed, human veto",2,28.1,Crossing now,0.0,0.0,
19-2031.00,Chemists,"Research, Development, Design, and Practitioners",82770.0,50.5,44.6,51.7,7.1,2,AI recommended,2,AI recommended,0,16.1,Handed off,0.0,0.0,
19-3091.00,Anthropologists and Archeologists,"Research, Development, Design, and Practitioners",8990.0,54.4,41.9,28.0,6.1,1,AI informed,3,"AI executed, human veto",2,31.0,Handed off,0.0,0.0,
19-3092.00,Geographers,"Research, Development, Design, and Practitioners",1400.0,57.8,34.2,46.1,11.0,2,AI recommended,3,"AI executed, human veto",1,26.2,Handed off,0.0,0.0,proposing action to taking it
19-4012.00,Agricultural Technicians,Technologists and Technicians,15130.0,46.6,31.2,43.1,24.8,2,AI recommended,2,AI recommended,0,-2.0,Human held,0.0,-0.0,
19-4013.00,Food Science Technicians,Technologists and Technicians,14600.0,47.4,36.6,67.6,18.5,2,AI recommended,2,AI recommended,0,-8.2,Human held,0.0,-0.0,
19-4021.00,Biological Technicians,Technologists and Technicians,69620.0,51.3,31.1,68.7,19.8,2,AI recommended,2,AI recommended,0,0.5,Handed off,0.0,0.0,
19-4031.00,Chemical Technicians,Technologists and Technicians,57540.0,50.1,41.7,56.4,10.4,2,AI recommended,2,AI recommended,0,14.5,Human held,0.0,0.0,
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians,34670.0,51.1,44.4,43.7,6.7,2,AI recommended,2,AI recommended,0,16.5,Handed off,0.0,0.0,
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Technologists and Technicians,6980.0,51.8,33.7,44.5,16.7,2,AI recommended,2,AI recommended,0,6.0,Handed off,0.0,0.0,
19-4044.00,Hydrologic Technicians,Technologists and Technicians,2840.0,59.7,37.5,,6.2,2,AI recommended,3,"AI executed, human veto",1,20.7,Handed off,0.0,0.0,proposing action to taking it
19-4051.00,Nuclear Technicians,Technologists and Technicians,6470.0,45.9,44.1,61.8,12.8,2,AI recommended,2,AI recommended,0,2.1,Human held,0.0,0.0,
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians,6470.0,50.0,43.7,61.4,8.5,2,AI recommended,2,AI recommended,0,-6.6,Human held,0.0,-0.0,
19-4071.00,Forest and Conservation Technicians,Technologists and Technicians,30410.0,49.7,41.4,41.0,11.1,2,AI recommended,2,AI recommended,0,8.2,Human held,0.0,0.0,
19-4092.00,Forensic Science Technicians,Technologists and Technicians,19120.0,44.6,55.1,48.1,3.4,1,AI informed,2,AI recommended,1,17.6,Human held,0.0,0.0,
19-4099.03,Remote Sensing Technicians,Technologists and Technicians,73910.0,63.1,31.3,50.2,10.1,2,AI recommended,3,"AI executed, human veto",1,16.3,Handed off,0.0,0.0,proposing action to taking it
29-1021.00,"Dentists, General","Research, Development, Design, and Practitioners",124390.0,37.4,70.0,72.7,-0.2,1,AI informed,2,AI recommended,1,21.8,Human held,0.0,0.0,
29-1022.00,Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners",4910.0,26.8,77.2,58.5,20.2,0,Human only,1,AI informed,1,23.7,Human held,0.0,0.0,
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners",6210.0,47.3,68.7,86.9,-13.5,1,AI informed,2,AI recommended,1,28.8,Human held,0.3,0.0,
29-1024.00,Prosthodontists,"Research, Development, Design, and Practitioners",870.0,29.0,66.5,67.3,23.5,1,AI informed,1,AI informed,0,11.1,Human held,0.0,0.0,
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners",42790.0,47.9,71.5,75.9,-17.0,1,AI informed,1,AI informed,0,31.8,Human held,7.7,0.0,
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners",321970.0,60.8,59.5,71.4,-16.6,2,AI recommended,2,AI recommended,0,26.1,Human held,14.6,0.0,
29-1071.01,Anesthesiologist Assistants,"Research, Development, Design, and Practitioners",162150.0,35.6,65.4,70.9,7.9,1,AI informed,2,AI recommended,1,13.0,Human held,0.0,0.0,
29-1124.00,Radiation Therapists,"Research, Development, Design, and Practitioners",17070.0,46.5,63.4,76.0,-7.3,1,AI informed,2,AI recommended,1,10.5,Human held,0.0,0.0,
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners",14930.0,56.9,71.4,69.2,-25.5,1,AI informed,1,AI informed,0,40.0,Watch point,17.2,0.0,
29-1126.00,Respiratory Therapists,"Research, Development, Design, and Practitioners",139790.0,44.7,67.6,69.3,-9.2,1,AI informed,2,AI recommended,1,21.0,Human held,0.0,0.0,
29-1128.00,Exercise Physiologists,"Research, Development, Design, and Practitioners",8560.0,51.9,62.0,60.1,-11.7,1,AI informed,2,AI recommended,1,26.4,Human held,0.9,0.0,
29-1141.01,Acute Care Nurses,"Research, Development, Design, and Practitioners",3379720.0,51.1,70.3,74.9,-19.2,1,AI informed,1,AI informed,0,34.3,Human held,11.1,0.0,
29-1141.02,Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners",3379720.0,53.5,71.8,68.0,-23.0,1,AI informed,1,AI informed,0,38.5,Human held,16.5,0.0,
29-1141.03,Critical Care Nurses,"Research, Development, Design, and Practitioners",3379720.0,45.4,68.7,74.5,-11.2,1,AI informed,2,AI recommended,1,23.2,Human held,0.0,0.0,
29-1151.00,Nurse Anesthetists,"Research, Development, Design, and Practitioners",51840.0,42.6,66.3,75.2,-5.0,1,AI informed,2,AI recommended,1,19.2,Human held,0.0,0.0,
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners",7920.0,51.0,71.0,74.1,-19.8,1,AI informed,1,AI informed,0,34.2,Human held,10.0,0.0,
29-1211.00,Anesthesiologists,"Research, Development, Design, and Practitioners",38760.0,46.6,70.9,76.1,-14.9,1,AI informed,1,AI informed,0,28.2,Human held,1.4,0.0,
29-1212.00,Cardiologists,"Research, Development, Design, and Practitioners",17290.0,48.2,70.2,,-16.0,1,AI informed,1,AI informed,0,28.6,Human held,6.7,0.0,
29-1213.00,Dermatologists,"Research, Development, Design, and Practitioners",11370.0,51.5,70.2,74.8,-19.5,1,AI informed,1,AI informed,0,40.2,Human held,16.0,0.0,
29-1214.00,Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",32880.0,49.3,74.6,90.0,-21.6,1,AI informed,1,AI informed,0,37.1,Human held,15.0,0.0,
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners",107510.0,59.2,71.9,82.4,-27.8,1,AI informed,1,AI informed,0,39.3,Watch point,22.2,0.0,
29-1216.00,General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",67150.0,52.7,71.6,76.8,-22.1,1,AI informed,1,AI informed,0,39.1,Human held,16.8,0.0,
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners",10590.0,56.0,71.9,72.8,-25.3,1,AI informed,1,AI informed,0,41.2,Watch point,22.0,0.0,
29-1218.00,Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",21260.0,51.8,72.3,73.9,-21.9,1,AI informed,1,AI informed,0,36.1,Human held,14.0,0.0,
29-1221.00,"Pediatricians, General","Research, Development, Design, and Practitioners",39390.0,51.6,72.2,76.3,-21.6,1,AI informed,1,AI informed,0,37.3,Human held,12.1,0.0,
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners",342720.0,56.7,71.5,78.2,-25.5,1,AI informed,1,AI informed,0,44.4,Watch point,24.5,0.0,
29-1229.03,Urologists,"Research, Development, Design, and Practitioners",342720.0,47.8,72.5,71.9,-17.9,1,AI informed,1,AI informed,0,32.5,Human held,7.5,0.0,
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners",342720.0,46.0,75.4,72.0,-18.6,1,AI informed,1,AI informed,0,34.6,Human held,7.9,0.0,
29-1241.00,"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",8950.0,50.2,71.9,76.5,-19.9,1,AI informed,1,AI informed,0,35.1,Human held,13.1,0.0,
29-1243.00,Pediatric Surgeons,"Research, Development, Design, and Practitioners",1190.0,48.3,70.5,,-16.4,1,AI informed,1,AI informed,0,27.6,Human held,5.5,0.0,
29-1291.00,Acupuncturists,"Research, Development, Design, and Practitioners",7830.0,44.3,67.9,86.6,-9.0,1,AI informed,2,AI recommended,1,27.4,Human held,0.0,0.0,
29-1292.00,Dental Hygienists,"Research, Development, Design, and Practitioners",222740.0,44.1,60.0,72.0,-0.8,1,AI informed,2,AI recommended,1,11.8,Human held,0.0,0.0,
29-2011.00,Medical and Clinical Laboratory Technologists,Technologists and Technicians,332940.0,47.8,54.7,76.7,-0.1,2,AI recommended,2,AI recommended,0,7.7,Human held,0.0,0.0,
29-2011.01,Cytogenetic Technologists,Technologists and Technicians,332940.0,52.3,54.2,77.9,-4.3,2,AI recommended,2,AI recommended,0,8.1,Crossing now,0.0,0.0,
29-2011.02,Cytotechnologists,Technologists and Technicians,332940.0,51.2,56.8,78.3,-5.8,2,AI recommended,2,AI recommended,0,7.4,Human held,0.0,0.0,
29-2011.04,Histotechnologists,Technologists and Technicians,332940.0,41.8,47.3,73.0,15.2,2,AI recommended,1,AI informed,-1,-11.3,Human held,0.0,0.0,
29-2012.00,Medical and Clinical Laboratory Technicians,Technologists and Technicians,332940.0,47.3,50.7,67.6,4.5,2,AI recommended,2,AI recommended,0,0.7,Human held,0.0,0.0,
29-2012.01,Histology Technicians,Technologists and Technicians,332940.0,32.3,41.6,81.8,39.2,2,AI recommended,1,AI informed,-1,-18.3,Human held,0.0,0.0,
29-2031.00,Cardiovascular Technologists and Technicians,Technologists and Technicians,62960.0,46.7,63.1,82.6,-7.2,2,AI recommended,2,AI recommended,0,9.4,Human held,0.0,0.0,
29-2032.00,Diagnostic Medical Sonographers,Technologists and Technicians,90160.0,50.3,60.2,85.3,-8.3,2,AI recommended,2,AI recommended,0,11.3,Human held,0.0,0.0,
29-2033.00,Nuclear Medicine Technologists,Technologists and Technicians,17080.0,48.8,57.3,77.5,-3.8,2,AI recommended,2,AI recommended,0,6.9,Human held,0.0,0.0,
29-2034.00,Radiologic Technologists and Technicians,Technologists and Technicians,230490.0,48.8,61.5,82.2,-8.0,1,AI informed,2,AI recommended,1,12.2,Human held,0.0,0.0,
29-2035.00,Magnetic Resonance Imaging Technologists,Technologists and Technicians,43390.0,47.8,58.1,78.5,-3.5,1,AI informed,2,AI recommended,1,10.1,Human held,0.0,0.0,
29-2036.00,Medical Dosimetrists,Technologists and Technicians,3410.0,53.6,57.5,65.7,-8.8,2,AI recommended,2,AI recommended,0,19.4,Human held,0.5,0.0,
29-2042.00,Emergency Medical Technicians,Technologists and Technicians,180510.0,43.4,67.2,,-7.0,1,AI informed,2,AI recommended,1,19.3,Human held,0.0,0.0,
29-2043.00,Paramedics,Technologists and Technicians,100610.0,40.1,74.3,70.7,-9.2,1,AI informed,1,AI informed,0,29.5,Human held,0.0,0.0,
29-2052.00,Pharmacy Technicians,Technologists and Technicians,471680.0,60.4,40.1,84.3,3.1,3,"AI executed, human veto",3,"AI executed, human veto",0,-0.7,Crossing now,0.0,-0.0,
29-2053.00,Psychiatric Technicians,Technologists and Technicians,156960.0,47.4,65.7,66.8,-10.6,1,AI informed,2,AI recommended,1,20.3,Human held,0.0,0.0,
29-2055.00,Surgical Technologists,Technologists and Technicians,117460.0,39.8,54.0,84.7,11.6,2,AI recommended,1,AI informed,-1,-4.3,Human held,0.0,0.0,
29-2056.00,Veterinary Technologists and Technicians,Technologists and Technicians,129140.0,40.3,57.8,70.7,7.0,1,AI informed,2,AI recommended,1,3.4,Human held,0.0,0.0,
29-2057.00,Ophthalmic Medical Technicians,Technologists and Technicians,71010.0,38.5,57.3,74.2,10.5,2,AI recommended,1,AI informed,-1,-7.1,Human held,0.0,0.0,
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians,648410.0,47.0,57.8,68.1,-2.2,2,AI recommended,2,AI recommended,0,7.4,Human held,0.0,0.0,
29-2081.00,"Opticians, Dispensing",Technologists and Technicians,73530.0,50.3,52.9,81.5,-1.0,2,AI recommended,2,AI recommended,0,11.7,Crossing now,0.0,0.0,
29-2091.00,Orthotists and Prosthetists,Technologists and Technicians,9390.0,45.3,61.9,69.7,-4.3,1,AI informed,2,AI recommended,1,17.9,Human held,0.0,0.0,
29-2092.00,Hearing Aid Specialists,Technologists and Technicians,11270.0,40.6,61.7,71.0,2.6,1,AI informed,2,AI recommended,1,12.2,Human held,0.0,0.0,
29-2099.01,Neurodiagnostic Technologists,Technologists and Technicians,182610.0,46.3,63.6,75.4,-7.2,1,AI informed,2,AI recommended,1,19.1,Human held,0.0,0.0,
29-2099.05,Ophthalmic Medical Technologists,Technologists and Technicians,182610.0,41.1,57.8,73.4,5.7,2,AI recommended,2,AI recommended,0,-5.9,Human held,0.0,-0.0,
29-9091.00,Athletic Trainers,"Research, Development, Design, and Practitioners",30500.0,51.7,55.3,60.4,-4.8,1,AI informed,2,AI recommended,1,23.2,Crossing now,0.0,0.0,
29-9093.00,Surgical Assistants,"Research, Development, Design, and Practitioners",22270.0,31.1,65.8,73.3,18.2,1,AI informed,1,AI informed,0,3.4,Human held,0.0,0.0,
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,284800.0,73.9,35.2,58.8,0.1,3,"AI executed, human veto",3,"AI executed, human veto",0,17.6,Crossing now,9.0,0.0,
