onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians,4,25,53.9,45.3,37.4,4.5,0.24,0.08,0.0,Insulated
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Technologists and Technicians,4,29,53.7,44.3,36.9,6.0,0.172,0.138,0.103,Insulated
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners",4,27,53.5,56.2,49.2,33.4,0.111,0.037,0.296,Human-anchored
29-1229.06,Sports Medicine Physicians,"Research, Development, Design, and Practitioners",5,27,53.5,61.6,54.7,40.1,0.037,0.0,0.519,Contested
19-4021.00,Biological Technicians,Technologists and Technicians,4,18,53.2,42.2,35.7,0.4,0.056,0.222,0.0,Insulated
29-1229.01,Allergists and Immunologists,"Research, Development, Design, and Practitioners",5,16,53.2,62.8,56.4,44.4,0.062,0.0,0.688,Contested
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners",5,14,53.0,58.2,52.2,38.3,0.071,0.0,0.643,Human-anchored
19-1032.00,Foresters,"Research, Development, Design, and Practitioners",4,25,52.8,52.2,46.7,28.1,0.04,0.0,0.0,Human-anchored
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners",5,19,52.7,56.5,51.2,29.1,0.105,0.0,0.421,Human-anchored
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners",5,30,52.7,58.6,53.2,34.0,0.1,0.033,0.6,Human-anchored
29-1215.00,Family Medicine Physicians,"Research, Development, Design, and Practitioners",5,12,52.5,60.0,55.0,39.3,0.083,0.0,0.5,Human-anchored
19-1022.00,Microbiologists,"Research, Development, Design, and Practitioners",4,14,52.4,48.6,43.8,16.0,0.071,0.071,0.071,Human-anchored
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners",5,27,52.4,60.0,55.2,40.2,0.185,0.074,0.667,Human-anchored
19-2031.00,Chemists,"Research, Development, Design, and Practitioners",4,12,52.3,49.1,44.5,16.1,0.0,0.0,0.167,Human-anchored
29-1141.04,Clinical Nurse Specialists,"Research, Development, Design, and Practitioners",5,30,52.3,60.2,55.6,44.9,0.067,0.0,0.5,Human-anchored
17-3024.01,Robotics Technicians,Technologists and Technicians,3,22,52.2,43.2,38.7,5.3,0.045,0.045,0.091,Insulated
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians,3,11,52.0,43.0,39.1,4.1,0.091,0.091,0.0,Insulated
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians,4,25,52.0,47.7,43.6,16.4,0.12,0.04,0.16,Human-anchored
29-1217.00,Neurologists,"Research, Development, Design, and Practitioners",5,24,52.0,60.7,56.7,41.2,0.042,0.0,0.625,Contested
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners",5,24,51.9,57.7,53.9,33.1,0.125,0.042,0.708,Human-anchored
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners",4,30,51.8,57.0,53.4,38.2,0.133,0.0,0.633,Human-anchored
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners",5,23,51.7,58.0,54.7,37.9,0.087,0.043,0.609,Human-anchored
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians,,16,51.6,40.9,37.7,-6.5,0.125,0.062,0.062,Insulated
19-4031.00,Chemical Technicians,Technologists and Technicians,3,16,51.4,45.9,43.1,14.6,0.125,0.062,0.125,Human-anchored
29-2036.00,Medical Dosimetrists,Technologists and Technicians,4,19,51.1,51.0,48.8,19.3,0.158,0.053,0.263,Human-anchored
29-1181.00,Audiologists,"Research, Development, Design, and Practitioners",5,22,50.8,56.3,54.8,33.5,0.136,0.0,0.545,Human-anchored
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners",5,18,50.4,57.1,56.3,39.4,0.056,0.0,0.778,Human-anchored
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners",4,11,50.4,58.3,57.5,40.0,0.0,0.0,0.727,Human-anchored
29-2011.01,Cytogenetic Technologists,Technologists and Technicians,4,30,50.4,46.4,45.6,8.1,0.133,0.0,0.3,Human-anchored
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners",5,17,50.0,54.2,54.1,33.3,0.0,0.0,0.471,Human-anchored
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners",5,20,49.9,53.3,53.5,31.6,0.2,0.05,0.5,Human-anchored
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners",5,16,49.7,55.0,55.7,31.9,0.062,0.0,0.5,Human-anchored
