soc_code,soc_title,total_employment,employment_prse,annual_mean_wage,annual_median_wage,hourly_mean_wage,wage_top_coded,release
29-1171,Nurse Practitioners,323040.0,1.2,137300.0,132300.0,66.01,0,May 2025
29-1181,Audiologists,13660.0,4.8,97740.0,95780.0,46.99,0,May 2025
29-1211,Anesthesiologists,38760.0,11.0,360570.0,391490.0,173.35,0,May 2025
29-1212,Cardiologists,17290.0,5.4,454940.0,496010.0,218.72,0,May 2025
29-1213,Dermatologists,11370.0,9.4,323530.0,328730.0,155.55,0,May 2025
29-1214,Emergency Medicine Physicians,32880.0,4.3,317480.0,335550.0,152.64,0,May 2025
29-1215,Family Medicine Physicians,107510.0,5.1,255820.0,244180.0,122.99,0,May 2025
29-1216,General Internal Medicine Physicians,67150.0,4.3,267200.0,256560.0,128.46,0,May 2025
29-1217,Neurologists,10590.0,9.9,267630.0,248560.0,128.67,0,May 2025
29-1218,Obstetricians and Gynecologists,21260.0,5.7,279040.0,292910.0,134.16,0,May 2025
29-1221,"Pediatricians, General",39390.0,4.9,212110.0,210040.0,101.98,0,May 2025
29-1222,"Physicians, Pathologists",11110.0,7.1,285420.0,312400.0,137.22,0,May 2025
29-1223,Psychiatrists,27980.0,3.5,269940.0,281870.0,129.78,0,May 2025
29-1224,Radiologists,26770.0,7.3,381530.0,420860.0,183.43,0,May 2025
29-1229,"Physicians, All Other",342720.0,1.4,262040.0,265930.0,125.98,0,May 2025
29-1241,"Ophthalmologists, Except Pediatric",8950.0,13.0,304650.0,300080.0,146.47,0,May 2025
29-1242,"Orthopedic Surgeons, Except Pediatric",14100.0,10.9,373570.0,358550.0,179.6,0,May 2025
29-1243,Pediatric Surgeons,1190.0,33.7,502050.0,559030.0,241.37,0,May 2025
29-1291,Acupuncturists,7830.0,12.9,87020.0,76040.0,41.84,0,May 2025
29-1292,Dental Hygienists,222740.0,1.6,98990.0,98100.0,47.59,0,May 2025
