onet_soc_code,occupation_title,bottleneck_creative_intelligence,bottleneck_perception_manipulation,bottleneck_social_intelligence,collaboration,responsibility_for_others,elements_matched,elements_expected
15-2051.01,Business Intelligence Analysts,48.3,3.3,33.5,47.1,20.4,14,14
15-2051.02,Clinical Data Managers,43.7,15.5,44.8,67.0,28.5,14,14
15-2099.00,"Mathematical Science Occupations, All Other",,,,,,0,14
15-2099.01,Bioinformatics Technicians,41.9,14.6,22.9,51.9,41.6,14,14
17-1011.00,"Architects, Except Landscape and Naval",72.2,38.3,58.3,75.6,48.2,14,14
17-1012.00,Landscape Architects,62.6,34.2,43.1,67.6,45.9,14,14
17-1021.00,Cartographers and Photogrammetrists,30.1,49.8,43.3,72.4,26.5,14,14
17-1022.00,Surveyors,30.1,56.2,57.7,68.3,69.3,14,14
17-1022.01,Geodetic Surveyors,30.5,49.8,33.7,52.5,40.9,14,14
17-2011.00,Aerospace Engineers,62.3,12.3,34.2,73.2,40.9,14,14
17-2021.00,Agricultural Engineers,51.2,30.2,49.4,55.3,53.4,14,14
17-2031.00,Bioengineers and Biomedical Engineers,65.9,44.1,46.4,57.2,49.3,14,14
17-2041.00,Chemical Engineers,60.6,14.8,45.1,63.8,55.6,14,14
17-2051.00,Civil Engineers,60.6,10.5,41.9,69.2,48.1,14,14
17-2051.01,Transportation Engineers,57.2,13.8,52.1,73.9,59.8,14,14
17-2051.02,Water/Wastewater Engineers,59.0,8.1,46.4,67.7,50.3,14,14
17-2061.00,Computer Hardware Engineers,58.6,44.0,45.3,62.3,38.8,14,14
17-2071.00,Electrical Engineers,53.7,40.6,43.5,70.4,55.5,14,14
17-2072.00,"Electronics Engineers, Except Computer",58.6,60.2,27.7,53.1,23.8,14,14
17-2072.01,Radio Frequency Identification Device Specialists,38.1,44.9,46.7,75.8,41.7,14,14
17-2081.00,Environmental Engineers,62.6,2.5,57.9,64.4,66.8,14,14
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",41.9,8.3,60.1,69.0,61.8,14,14
17-2111.02,Fire-Prevention and Protection Engineers,53.0,8.1,49.8,60.7,50.6,14,14
17-2112.00,Industrial Engineers,47.4,23.9,30.5,79.8,58.7,14,14
17-2112.01,Human Factors Engineers and Ergonomists,63.1,4.2,54.9,60.9,54.4,14,14
17-2112.02,Validation Engineers,33.8,23.1,42.9,68.3,40.7,14,14
17-2112.03,Manufacturing Engineers,64.3,46.4,46.3,73.0,60.1,14,14
17-2121.00,Marine Engineers and Naval Architects,61.0,44.0,46.8,57.4,43.3,14,14
17-2131.00,Materials Engineers,68.2,35.8,31.3,68.2,55.9,14,14
17-2141.00,Mechanical Engineers,58.6,33.5,21.4,69.3,55.7,14,14
17-2141.01,Fuel Cell Engineers,64.8,53.0,37.9,61.7,54.6,14,14
17-2141.02,Automotive Engineers,69.2,28.5,51.8,69.9,54.3,14,14
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",59.0,9.8,49.6,66.1,50.9,14,14
17-2161.00,Nuclear Engineers,59.0,19.7,45.4,51.5,56.5,14,14
17-2171.00,Petroleum Engineers,59.0,9.8,52.3,88.5,63.4,14,14
17-2199.00,"Engineers, All Other",,,,,,0,14
17-2199.03,"Energy Engineers, Except Wind and Solar",51.2,4.0,35.5,67.7,48.2,14,14
17-2199.05,Mechatronics Engineers,62.3,37.6,40.5,65.9,45.2,14,14
17-2199.06,Microsystems Engineers,60.6,56.2,41.4,72.3,47.6,14,14
17-2199.07,Photonics Engineers,73.3,55.4,37.1,72.9,36.6,14,14
17-2199.08,Robotics Engineers,71.2,62.6,49.0,67.1,61.3,14,14
17-2199.09,Nanosystems Engineers,67.9,56.2,41.3,61.8,62.5,14,14
17-2199.10,Wind Energy Engineers,47.0,27.0,35.6,51.1,29.1,14,14
17-2199.11,Solar Energy Systems Engineers,57.0,43.9,40.5,66.1,66.7,14,14
17-3011.00,Architectural and Civil Drafters,41.9,30.1,49.2,56.1,26.7,14,14
17-3012.00,Electrical and Electronics Drafters,32.1,39.9,26.3,62.6,31.0,14,14
17-3013.00,Mechanical Drafters,31.8,46.6,23.7,52.0,19.8,14,14
17-3019.00,"Drafters, All Other",,,,,,0,14
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,32.1,58.6,31.5,70.5,52.1,14,14
17-3022.00,Civil Engineering Technologists and Technicians,30.5,40.0,36.2,78.5,50.1,14,14
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,28.5,59.4,22.7,64.2,54.5,14,14
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,33.8,72.6,33.0,70.6,57.0,14,14
17-3024.01,Robotics Technicians,35.6,77.3,26.0,59.7,60.7,14,14
17-3025.00,Environmental Engineering Technologists and Technicians,32.1,56.2,38.4,66.0,58.2,14,14
17-3026.00,Industrial Engineering Technologists and Technicians,50.8,39.1,32.8,70.4,58.7,14,14
17-3026.01,Nanotechnology Engineering Technologists and Technicians,45.7,61.2,45.1,69.5,59.2,14,14
17-3027.00,Mechanical Engineering Technologists and Technicians,35.6,58.6,36.7,70.7,63.6,14,14
17-3027.01,Automotive Engineering Technicians,41.9,56.9,35.1,65.1,50.7,14,14
17-3028.00,Calibration Technologists and Technicians,,,19.9,58.1,64.0,9,14
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",,,,,,0,14
17-3029.01,Non-Destructive Testing Specialists,26.5,57.8,55.6,60.6,62.5,14,14
17-3029.08,Photonics Technicians,28.5,64.3,28.6,55.3,41.7,14,14
17-3031.00,Surveying and Mapping Technicians,19.1,44.8,33.9,46.0,50.5,14,14
19-1011.00,Animal Scientists,57.0,15.6,59.3,63.8,52.2,14,14
19-1012.00,Food Scientists and Technologists,62.6,43.1,50.8,64.9,47.6,14,14
19-1013.00,Soil and Plant Scientists,62.6,43.1,50.8,60.2,62.4,14,14
19-1021.00,Biochemists and Biophysicists,81.7,50.6,45.7,54.4,58.0,14,14
19-1022.00,Microbiologists,67.9,61.2,42.5,58.4,59.5,14,14
19-1023.00,Zoologists and Wildlife Biologists,41.7,37.5,58.5,62.3,53.4,14,14
19-1029.00,"Biological Scientists, All Other",,,,,,0,14
19-1029.01,Bioinformatics Scientists,70.0,13.1,30.0,64.0,32.8,14,14
19-1029.02,Molecular and Cellular Biologists,69.5,49.8,44.8,56.5,53.6,14,14
19-1029.03,Geneticists,62.6,39.1,46.2,52.6,44.2,14,14
19-1029.04,Biologists,59.0,48.1,53.1,64.3,63.6,14,14
19-1031.00,Conservation Scientists,49.0,43.1,53.0,57.2,45.3,14,14
19-1031.02,Range Managers,51.7,35.7,61.7,57.1,44.2,14,14
19-1031.03,Park Naturalists,41.7,40.0,59.9,75.7,46.3,14,14
19-1032.00,Foresters,45.4,44.0,52.2,54.9,66.9,14,14
19-1041.00,Epidemiologists,64.3,9.7,52.6,72.8,43.3,14,14
19-1042.00,"Medical Scientists, Except Epidemiologists",60.6,48.1,38.6,83.0,56.1,14,14
19-1099.00,"Life Scientists, All Other",,,,,,0,14
19-2011.00,Astronomers,66.4,9.8,36.3,47.6,27.7,14,14
19-2012.00,Physicists,100.0,18.8,42.4,54.5,39.5,14,14
19-2021.00,Atmospheric and Space Scientists,40.1,6.6,38.1,58.5,37.0,14,14
19-2031.00,Chemists,45.7,57.8,41.7,60.0,60.3,14,14
19-2032.00,Materials Scientists,60.3,28.6,31.2,56.9,54.5,14,14
19-2041.00,"Environmental Scientists and Specialists, Including Health",49.0,24.6,53.5,64.5,35.4,14,14
19-2041.01,Climate Change Policy Analysts,39.0,4.0,44.8,68.3,28.0,14,14
19-2041.02,Environmental Restoration Planners,57.0,36.6,56.9,71.9,47.3,14,14
19-2041.03,Industrial Ecologists,60.6,0.0,29.9,47.6,30.0,14,14
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",48.3,31.8,50.3,63.5,58.9,14,14
19-2043.00,Hydrologists,60.6,38.2,37.3,48.0,52.3,14,14
19-2099.00,"Physical Scientists, All Other",,,,,,0,14
19-2099.01,Remote Sensing Scientists and Technologists,57.0,35.1,32.7,51.2,33.8,14,14
19-3011.00,Economists,53.7,2.5,41.8,47.2,30.8,14,14
19-3011.01,Environmental Economists,60.6,4.9,16.8,23.1,9.6,14,14
19-3022.00,Survey Researchers,46.1,5.6,44.2,64.6,40.7,14,14
19-3032.00,Industrial-Organizational Psychologists,64.8,4.9,66.0,76.3,42.4,14,14
19-3033.00,Clinical and Counseling Psychologists,59.0,0.0,85.5,49.5,32.1,14,14
19-3034.00,School Psychologists,47.0,4.8,78.2,77.6,28.2,14,14
19-3039.00,"Psychologists, All Other",,,,,,0,14
19-3039.02,Neuropsychologists,51.2,28.5,65.2,40.3,29.1,14,14
19-3039.03,Clinical Neuropsychologists,53.4,28.5,68.8,56.3,39.5,14,14
19-3041.00,Sociologists,57.0,0.8,54.2,45.3,28.6,14,14
19-3051.00,Urban and Regional Planners,62.6,11.4,71.2,72.2,31.0,14,14
19-3091.00,Anthropologists and Archeologists,50.3,27.7,62.4,45.9,25.8,14,14
19-3092.00,Geographers,43.7,4.9,42.0,42.5,24.5,14,14
19-3094.00,Political Scientists,49.5,3.3,44.7,41.5,9.3,14,14
19-3099.00,"Social Scientists and Related Workers, All Other",,,,,,0,14
19-3099.01,Transportation Planners,60.6,7.3,66.4,69.8,41.6,14,14
19-4012.00,Agricultural Technicians,30.1,57.0,25.9,60.7,54.9,14,14
19-4012.01,Precision Agriculture Technicians,32.1,53.7,45.9,62.8,51.7,14,14
19-4013.00,Food Science Technicians,19.6,47.2,35.3,78.6,73.9,14,14
19-4021.00,Biological Technicians,32.1,59.4,24.7,86.2,72.2,14,14
19-4031.00,Chemical Technicians,33.8,60.2,15.8,71.7,58.9,14,14
19-4042.00,"Environmental Science and Protection Technicians, Including Health",33.8,55.4,47.8,52.0,52.8,14,14
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",26.7,45.6,20.9,51.3,46.1,14,14
19-4044.00,Hydrologic Technicians,,,,,,0,14
19-4051.00,Nuclear Technicians,18.6,54.5,19.4,83.2,63.4,14,14
19-4051.02,Nuclear Monitoring Technicians,30.1,54.6,40.0,82.4,72.0,14,14
19-4061.00,Social Science Research Assistants,30.1,17.1,28.9,50.0,15.6,14,14
19-4071.00,Forest and Conservation Technicians,26.5,59.4,59.8,83.2,67.7,14,14
19-4092.00,Forensic Science Technicians,44.3,57.8,36.2,68.8,51.6,14,14
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",,,,,,0,14
19-4099.01,Quality Control Analysts,29.8,58.6,6.9,50.6,49.7,14,14
19-4099.03,Remote Sensing Technicians,47.9,47.3,29.6,59.5,20.6,14,14
25-1021.00,"Computer Science Teachers, Postsecondary",47.0,18.0,41.0,74.2,32.5,14,14
25-1022.00,"Mathematical Science Teachers, Postsecondary",43.4,4.0,40.7,56.1,10.1,14,14
25-1031.00,"Architecture Teachers, Postsecondary",60.3,14.8,62.6,68.9,35.0,14,14
25-1032.00,"Engineering Teachers, Postsecondary",57.0,12.3,39.7,62.9,47.2,14,14
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",53.0,27.6,68.6,70.4,40.3,14,14
25-1042.00,"Biological Science Teachers, Postsecondary",50.8,23.6,42.4,77.7,59.3,14,14
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",53.0,10.6,48.4,82.6,57.9,14,14
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",57.0,6.5,43.3,61.9,45.0,14,14
25-1052.00,"Chemistry Teachers, Postsecondary",43.4,14.6,48.7,66.4,74.3,14,14
25-1053.00,"Environmental Science Teachers, Postsecondary",45.4,4.0,49.3,70.4,54.5,14,14
25-1054.00,"Physics Teachers, Postsecondary",49.5,30.2,47.7,56.5,32.6,14,14
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",55.2,17.2,68.0,63.7,43.1,14,14
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",50.8,4.9,54.0,76.4,32.3,14,14
25-1063.00,"Economics Teachers, Postsecondary",34.3,9.8,30.9,45.9,7.2,14,14
25-1064.00,"Geography Teachers, Postsecondary",49.0,4.9,52.0,69.0,27.9,14,14
25-1065.00,"Political Science Teachers, Postsecondary",37.8,1.6,49.0,54.9,12.5,14,14
25-1066.00,"Psychology Teachers, Postsecondary",43.7,4.0,74.9,66.9,25.2,14,14
25-1067.00,"Sociology Teachers, Postsecondary",36.0,4.0,47.3,59.9,20.8,14,14
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",,,,,,0,14
25-1071.00,"Health Specialties Teachers, Postsecondary",44.7,24.4,56.7,82.3,54.2,14,14
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",51.2,49.8,78.0,84.4,71.5,14,14
29-1011.00,Chiropractors,36.0,59.4,53.9,50.5,60.9,14,14
29-1021.00,"Dentists, General",45.4,94.4,79.3,94.2,91.8,14,14
29-1022.00,Oral and Maxillofacial Surgeons,53.0,100.0,81.5,84.4,85.4,14,14
29-1023.00,Orthodontists,39.9,76.5,53.2,99.5,97.1,14,14
29-1024.00,Prosthodontists,38.1,76.5,77.5,93.2,99.7,14,14
29-1029.00,"Dentists, All Other Specialists",,,,,,0,14
29-1031.00,Dietitians and Nutritionists,52.6,12.1,56.6,66.3,44.3,14,14
29-1041.00,Optometrists,32.1,70.0,68.3,80.2,63.2,14,14
29-1051.00,Pharmacists,32.1,48.8,68.2,79.5,55.4,14,14
29-1071.00,Physician Assistants,34.3,54.6,82.2,88.4,61.7,14,14
29-1071.01,Anesthesiologist Assistants,26.7,67.7,66.3,91.1,58.8,14,14
29-1081.00,Podiatrists,43.7,61.7,51.6,85.4,84.6,14,14
29-1122.00,Occupational Therapists,57.0,56.2,68.8,78.3,48.7,14,14
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",41.7,24.6,57.6,55.9,27.5,14,14
29-1123.00,Physical Therapists,33.8,58.6,63.3,86.8,76.2,14,14
29-1124.00,Radiation Therapists,24.9,63.5,71.1,79.1,65.4,14,14
29-1125.00,Recreational Therapists,44.7,49.7,73.5,85.9,53.5,14,14
29-1126.00,Respiratory Therapists,30.1,59.4,70.9,82.3,71.6,14,14
29-1127.00,Speech-Language Pathologists,61.0,26.2,56.1,87.7,34.3,14,14
29-1128.00,Exercise Physiologists,54.8,45.6,59.0,79.8,56.9,14,14
29-1129.00,"Therapists, All Other",,,,,,0,14
29-1129.01,Art Therapists,57.0,48.1,79.9,67.1,40.4,14,14
29-1129.02,Music Therapists,57.0,56.2,76.3,72.5,19.2,14,14
29-1131.00,Veterinarians,41.7,73.3,55.3,94.1,76.8,14,14
29-1141.00,Registered Nurses,33.8,63.5,70.5,93.6,74.1,14,14
29-1141.01,Acute Care Nurses,34.3,33.4,69.1,88.8,64.9,14,14
29-1141.02,Advanced Practice Psychiatric Nurses,39.9,12.2,91.9,70.5,44.1,14,14
29-1141.03,Critical Care Nurses,43.9,63.5,78.5,90.0,60.0,14,14
29-1141.04,Clinical Nurse Specialists,43.7,53.7,82.1,81.1,72.2,14,14
29-1151.00,Nurse Anesthetists,46.1,59.4,80.8,90.5,70.6,14,14
29-1161.00,Nurse Midwives,34.3,60.2,87.4,88.8,61.8,14,14
29-1171.00,Nurse Practitioners,42.1,56.2,78.7,87.6,63.0,14,14
29-1181.00,Audiologists,34.3,62.7,74.2,75.2,48.2,14,14
29-1211.00,Anesthesiologists,36.0,68.5,90.0,87.2,76.5,14,14
29-1212.00,Cardiologists,,,,,,0,14
29-1213.00,Dermatologists,47.4,68.5,71.1,88.2,84.9,14,14
29-1214.00,Emergency Medicine Physicians,57.0,66.8,83.3,93.5,74.7,14,14
29-1215.00,Family Medicine Physicians,33.8,54.6,55.8,95.0,72.3,14,14
29-1216.00,General Internal Medicine Physicians,53.4,52.2,74.4,68.4,65.8,14,14
29-1217.00,Neurologists,65.3,31.1,80.8,88.7,72.7,14,14
29-1218.00,Obstetricians and Gynecologists,38.1,72.4,79.1,96.5,78.4,14,14
29-1221.00,"Pediatricians, General",39.9,48.1,67.0,89.3,72.1,14,14
29-1222.00,"Physicians, Pathologists",45.4,60.3,55.2,72.0,42.4,14,14
29-1223.00,Psychiatrists,59.0,8.9,87.1,87.0,73.6,14,14
29-1224.00,Radiologists,36.0,53.8,63.6,72.9,63.7,14,14
29-1229.00,"Physicians, All Other",,,,,,0,14
29-1229.01,Allergists and Immunologists,55.2,29.4,63.6,87.2,72.6,14,14
29-1229.02,Hospitalists,53.0,44.9,86.2,90.7,70.5,14,14
29-1229.03,Urologists,39.9,72.5,87.9,87.2,97.3,14,14
29-1229.04,Physical Medicine and Rehabilitation Physicians,55.2,52.1,79.4,76.4,63.9,14,14
29-1229.05,Preventive Medicine Physicians,66.9,5.7,76.0,82.7,74.4,14,14
29-1229.06,Sports Medicine Physicians,61.0,54.5,76.4,82.5,67.3,14,14
29-1241.00,"Ophthalmologists, Except Pediatric",57.0,77.5,81.3,88.4,70.0,14,14
29-1242.00,"Orthopedic Surgeons, Except Pediatric",,,,,,0,14
29-1243.00,Pediatric Surgeons,,,,,,0,14
29-1249.00,"Surgeons, All Other",,,,,,0,14
29-1291.00,Acupuncturists,30.1,61.9,60.4,42.0,35.8,14,14
29-1292.00,Dental Hygienists,11.6,71.6,61.9,70.3,29.0,14,14
29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",,,,,,0,14
29-1299.01,Naturopathic Physicians,57.0,39.9,71.0,60.4,44.6,14,14
29-1299.02,Orthoptists,37.8,58.6,56.8,83.0,50.6,14,14
29-2011.00,Medical and Clinical Laboratory Technologists,22.5,70.1,50.3,73.3,57.3,14,14
29-2011.01,Cytogenetic Technologists,28.5,58.6,16.5,43.4,50.4,14,14
29-2011.02,Cytotechnologists,9.4,68.4,24.9,37.8,35.0,14,14
29-2011.04,Histotechnologists,26.5,58.7,24.8,50.4,53.6,14,14
29-2012.00,Medical and Clinical Laboratory Technicians,26.7,59.4,47.8,49.3,47.8,14,14
29-2012.01,Histology Technicians,3.3,62.8,15.3,54.3,55.4,14,14
29-2031.00,Cardiovascular Technologists and Technicians,24.9,59.4,53.6,80.9,54.4,14,14
29-2032.00,Diagnostic Medical Sonographers,20.7,57.9,55.8,82.3,30.8,14,14
29-2033.00,Nuclear Medicine Technologists,24.7,57.0,55.6,78.3,54.1,14,14
29-2034.00,Radiologic Technologists and Technicians,1.7,57.8,62.6,72.7,68.5,14,14
29-2035.00,Magnetic Resonance Imaging Technologists,22.5,60.2,56.2,63.6,71.8,14,14
29-2036.00,Medical Dosimetrists,43.7,45.6,43.9,62.4,46.0,14,14
29-2042.00,Emergency Medical Technicians,,,,,,0,14
29-2043.00,Paramedics,18.6,66.8,62.3,76.0,67.6,14,14
29-2051.00,Dietetic Technicians,36.0,52.2,47.5,86.2,82.6,14,14
29-2052.00,Pharmacy Technicians,1.7,58.6,47.5,77.1,53.6,14,14
29-2053.00,Psychiatric Technicians,30.1,45.6,77.4,83.4,49.9,14,14
29-2055.00,Surgical Technologists,19.1,72.4,70.7,90.4,71.5,14,14
29-2056.00,Veterinary Technologists and Technicians,30.1,65.1,53.7,75.3,58.3,14,14
29-2057.00,Ophthalmic Medical Technicians,6.3,61.2,52.9,82.0,52.4,14,14
29-2061.00,Licensed Practical and Licensed Vocational Nurses,28.5,58.6,64.9,82.8,73.3,14,14
29-2072.00,Medical Records Specialists,11.4,28.4,52.5,73.6,51.4,14,14
29-2081.00,"Opticians, Dispensing",28.1,58.6,65.2,70.1,48.3,14,14
29-2091.00,Orthotists and Prosthetists,49.0,63.5,66.8,70.2,68.3,14,14
29-2092.00,Hearing Aid Specialists,18.6,63.4,60.9,59.3,47.5,14,14
29-2099.00,"Health Technologists and Technicians, All Other",,,,,,0,14
29-2099.01,Neurodiagnostic Technologists,16.9,56.9,62.3,74.5,42.2,14,14
29-2099.05,Ophthalmic Medical Technologists,22.5,58.7,61.1,77.9,44.6,14,14
29-2099.08,Patient Representatives,26.5,12.3,82.4,63.8,34.6,14,14
29-9021.00,Health Information Technologists and Medical Registrars,,,,,,0,14
29-9091.00,Athletic Trainers,38.1,57.0,67.2,83.3,70.8,14,14
29-9092.00,Genetic Counselors,32.1,7.3,75.5,77.8,27.7,14,14
29-9093.00,Surgical Assistants,24.3,76.5,72.8,77.1,65.5,14,14
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",,,,,,0,14
29-9099.01,Midwives,36.5,60.3,81.8,75.9,50.3,14,14
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",49.0,13.0,47.5,71.8,35.4,14,14
41-4011.07,Solar Sales Representatives and Assessors,30.1,19.6,34.9,70.6,24.9,14,14
41-9031.00,Sales Engineers,57.2,31.7,37.3,71.9,46.5,14,14
