onet_soc_code,title,scenario,tasks,automated,augmented,unchanged,new_tasks,share_automated,reshaped,total_employment,has_destination
29-1041.00,Optometrists,extreme,10,5,4,1,0,0.5,1,42790.0,1
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",extreme,29,14,5,10,0,0.483,0,6980.0,0
19-1032.00,Foresters,extreme,25,12,10,3,0,0.48,0,10430.0,0
29-2081.00,"Opticians, Dispensing",extreme,21,10,3,8,0,0.476,0,73530.0,1
29-1131.00,Veterinarians,extreme,21,10,5,6,0,0.476,0,83900.0,1
29-1242.00,"Orthopedic Surgeons, Except Pediatric",extreme,15,7,5,3,0,0.467,0,14100.0,1
17-1022.00,Surveyors,extreme,24,11,7,6,0,0.458,0,50830.0,0
17-3024.01,Robotics Technicians,extreme,22,10,4,8,0,0.455,0,15520.0,0
29-1023.00,Orthodontists,extreme,11,5,2,4,0,0.455,0,6210.0,1
29-1211.00,Anesthesiologists,extreme,20,9,6,5,0,0.45,0,38760.0,1
29-1291.00,Acupuncturists,extreme,18,8,2,8,0,0.444,0,7830.0,0
17-3026.01,Nanotechnology Engineering Technologists and Technicians,extreme,25,11,3,11,0,0.44,0,75570.0,0
19-4042.00,"Environmental Science and Protection Technicians, Including Health",extreme,25,11,7,7,0,0.44,0,34670.0,0
19-4031.00,Chemical Technicians,extreme,16,7,3,6,0,0.438,0,57540.0,0
29-2099.01,Neurodiagnostic Technologists,extreme,16,7,1,8,0,0.438,0,182610.0,1
17-3031.00,Surveying and Mapping Technicians,extreme,30,13,7,10,2,0.433,0,58010.0,0
29-1229.03,Urologists,extreme,14,6,4,4,0,0.429,0,342720.0,0
29-1229.04,Physical Medicine and Rehabilitation Physicians,extreme,15,6,6,3,1,0.4,0,342720.0,1
19-3039.03,Clinical Neuropsychologists,extreme,18,7,10,1,1,0.389,0,18820.0,0
19-4051.00,Nuclear Technicians,extreme,18,7,3,8,0,0.389,0,6470.0,0
19-4051.02,Nuclear Monitoring Technicians,extreme,16,6,1,9,4,0.375,0,6470.0,0
17-3029.08,Photonics Technicians,extreme,24,9,1,14,0,0.375,0,59930.0,0
29-2053.00,Psychiatric Technicians,extreme,16,6,5,5,0,0.375,0,156960.0,0
29-2032.00,Diagnostic Medical Sonographers,extreme,19,7,3,9,0,0.368,0,90160.0,1
29-2034.00,Radiologic Technologists and Technicians,extreme,30,11,7,12,0,0.367,0,230490.0,1
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,extreme,11,4,1,6,1,0.364,0,11280.0,0
29-1126.00,Respiratory Therapists,extreme,23,8,6,9,0,0.348,0,139790.0,1
29-1141.03,Critical Care Nurses,extreme,29,10,7,12,0,0.345,0,3379720.0,1
19-4021.00,Biological Technicians,extreme,18,6,7,5,0,0.333,0,69620.0,0
29-2011.00,Medical and Clinical Laboratory Technologists,extreme,15,5,3,7,1,0.333,0,332940.0,1
