onet_soc_code,title,scenario,tasks,automated,augmented,unchanged,new_tasks,share_automated,reshaped,total_employment,has_destination
19-2041.01,Climate Change Policy Analysts,modest,14,6,8,0,0,0.429,0,89250.0,0
19-2011.00,Astronomers,modest,17,7,5,5,1,0.412,0,2120.0,0
15-1253.00,Software Quality Assurance Analysts and Testers,modest,30,12,15,3,0,0.4,0,186740.0,0
15-1299.06,Digital Forensics Analysts,modest,20,8,11,1,0,0.4,0,435370.0,0
19-1031.03,Park Naturalists,modest,20,8,5,7,0,0.4,0,25950.0,0
25-1022.00,"Mathematical Science Teachers, Postsecondary",modest,23,9,9,5,1,0.391,0,47670.0,0
41-4011.07,Solar Sales Representatives and Assessors,modest,13,5,7,1,1,0.385,0,284800.0,0
19-4099.03,Remote Sensing Technicians,modest,21,8,7,6,1,0.381,0,73910.0,1
25-1032.00,"Engineering Teachers, Postsecondary",modest,24,9,10,5,0,0.375,0,40270.0,0
29-9021.00,Health Information Technologists and Medical Registrars,modest,16,6,7,3,0,0.375,0,38100.0,1
25-1031.00,"Architecture Teachers, Postsecondary",modest,22,8,10,4,0,0.364,0,7700.0,0
25-1063.00,"Economics Teachers, Postsecondary",modest,22,8,10,4,0,0.364,0,11560.0,0
25-1065.00,"Political Science Teachers, Postsecondary",modest,22,8,10,4,0,0.364,0,16970.0,0
25-1071.00,"Health Specialties Teachers, Postsecondary",modest,22,8,9,5,0,0.364,0,221270.0,0
19-4061.00,Social Science Research Assistants,modest,22,8,9,5,1,0.364,0,30640.0,1
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",modest,25,9,11,5,1,0.36,0,1520.0,0
25-1053.00,"Environmental Science Teachers, Postsecondary",modest,25,9,11,5,0,0.36,0,6690.0,0
25-1052.00,"Chemistry Teachers, Postsecondary",modest,28,10,11,7,0,0.357,0,19980.0,0
19-3094.00,Political Scientists,modest,14,5,8,1,0,0.357,0,5540.0,1
17-3022.00,Civil Engineering Technologists and Technicians,modest,14,5,5,4,1,0.357,0,68520.0,0
17-2161.00,Nuclear Engineers,modest,20,7,8,5,1,0.35,0,15280.0,0
15-1244.00,Network and Computer Systems Administrators,modest,20,7,9,4,0,0.35,0,314340.0,0
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",modest,23,8,10,5,0,0.348,0,8920.0,0
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",modest,23,8,11,4,0,0.348,0,11300.0,0
25-1021.00,"Computer Science Teachers, Postsecondary",modest,26,9,12,5,0,0.346,0,35480.0,0
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",modest,26,9,12,5,1,0.346,0,9900.0,0
15-1231.00,Computer Network Support Specialists,modest,26,9,11,6,0,0.346,0,146190.0,0
15-1241.01,Telecommunications Engineering Specialists,modest,26,9,13,4,0,0.346,0,179740.0,0
19-4099.01,Quality Control Analysts,modest,26,9,9,8,0,0.346,0,73910.0,1
25-1066.00,"Psychology Teachers, Postsecondary",modest,29,10,12,7,1,0.345,0,41530.0,0
25-1054.00,"Physics Teachers, Postsecondary",modest,24,8,10,6,1,0.333,0,13090.0,0
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",modest,27,9,12,6,0,0.333,0,5240.0,0
25-1067.00,"Sociology Teachers, Postsecondary",modest,24,8,11,5,3,0.333,0,11850.0,0
17-2072.01,Radio Frequency Identification Device Specialists,modest,21,7,8,6,0,0.333,0,96900.0,1
17-2061.00,Computer Hardware Engineers,modest,18,6,7,5,0,0.333,0,76660.0,1
25-1064.00,"Geography Teachers, Postsecondary",modest,25,8,12,5,0,0.32,0,3330.0,0
15-1299.04,Penetration Testers,modest,22,7,12,3,0,0.318,0,435370.0,1
19-4012.01,Precision Agriculture Technicians,modest,22,7,10,5,1,0.318,0,15130.0,1
19-3099.01,Transportation Planners,modest,22,7,13,2,0,0.318,0,37100.0,1
19-1029.04,Biologists,modest,22,7,11,4,1,0.318,0,55850.0,1
19-3022.00,Survey Researchers,modest,16,5,8,3,0,0.312,0,8290.0,1
19-4044.00,Hydrologic Technicians,modest,16,5,7,4,0,0.312,0,2840.0,1
19-2012.00,Physicists,modest,16,5,9,2,0,0.312,0,20430.0,1
17-2112.00,Industrial Engineers,modest,20,6,11,3,0,0.3,0,365740.0,1
25-1042.00,"Biological Science Teachers, Postsecondary",modest,27,8,13,6,1,0.296,0,50190.0,0
19-1013.00,Soil and Plant Scientists,modest,27,8,12,7,0,0.296,0,15730.0,0
15-1299.07,Blockchain Engineers,modest,17,5,12,0,1,0.294,0,435370.0,0
19-3011.00,Economists,modest,14,4,8,2,3,0.286,0,17790.0,1
15-1299.09,Information Technology Project Managers,modest,21,6,12,3,0,0.286,0,435370.0,0
17-2111.02,Fire-Prevention and Protection Engineers,modest,14,4,8,2,3,0.286,0,21450.0,0
17-3028.00,Calibration Technologists and Technicians,modest,14,4,4,6,0,0.286,0,16540.0,0
17-1011.00,"Architects, Except Landscape and Naval",modest,25,7,14,4,0,0.28,0,106770.0,0
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",modest,18,5,9,4,1,0.278,0,6080.0,0
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",modest,29,8,14,7,0,0.276,0,77960.0,0
15-1212.00,Information Security Analysts,modest,11,3,8,0,0,0.273,0,190650.0,0
15-1241.00,Computer Network Architects,modest,33,9,21,3,0,0.273,0,179740.0,0
11-9121.01,Clinical Research Coordinators,modest,33,9,21,3,0,0.273,0,108690.0,0
17-2199.07,Photonics Engineers,modest,26,7,13,6,0,0.269,0,154070.0,1
17-3011.00,Architectural and Civil Drafters,modest,26,7,13,6,1,0.269,0,103700.0,1
19-3041.00,Sociologists,modest,15,4,8,3,2,0.267,0,2260.0,1
17-2141.00,Mechanical Engineers,modest,28,7,13,8,1,0.25,0,296810.0,0
17-1022.01,Geodetic Surveyors,modest,16,4,5,7,1,0.25,0,50830.0,0
19-2032.00,Materials Scientists,modest,16,4,8,4,2,0.25,0,8470.0,0
19-3092.00,Geographers,modest,12,3,6,3,0,0.25,0,1400.0,0
19-3011.01,Environmental Economists,modest,20,5,14,1,0,0.25,0,17790.0,1
17-2072.00,"Electronics Engineers, Except Computer",modest,20,5,10,5,0,0.25,0,96900.0,1
17-3026.01,Nanotechnology Engineering Technologists and Technicians,modest,25,6,5,14,0,0.24,0,75570.0,0
17-2199.09,Nanosystems Engineers,modest,25,6,9,10,0,0.24,0,154070.0,0
17-2112.02,Validation Engineers,modest,21,5,7,9,0,0.238,0,365740.0,0
17-2199.03,"Energy Engineers, Except Wind and Solar",modest,21,5,9,7,0,0.238,0,154070.0,0
29-2052.00,Pharmacy Technicians,modest,21,5,6,10,0,0.238,0,471680.0,1
11-3021.00,Computer and Information Systems Managers,modest,17,4,11,2,0,0.235,0,670570.0,0
17-2031.00,Bioengineers and Biomedical Engineers,modest,30,7,19,4,0,0.233,0,23480.0,1
19-4012.00,Agricultural Technicians,modest,26,6,2,18,0,0.231,0,15130.0,0
17-2199.06,Microsystems Engineers,modest,31,7,18,6,0,0.226,0,154070.0,0
19-2041.02,Environmental Restoration Planners,modest,23,5,15,3,0,0.217,0,89250.0,1
29-1229.02,Hospitalists,modest,14,3,7,4,0,0.214,0,342720.0,1
19-1042.00,"Medical Scientists, Except Epidemiologists",modest,14,3,8,3,0,0.214,0,172340.0,1
17-1012.00,Landscape Architects,modest,19,4,12,3,3,0.211,0,19600.0,0
19-1029.03,Geneticists,modest,24,5,15,4,0,0.208,0,55850.0,1
19-3051.00,Urban and Regional Planners,modest,25,5,16,4,0,0.2,0,44230.0,1
15-1221.00,Computer and Information Research Scientists,modest,15,3,11,1,0,0.2,0,37200.0,0
17-3027.00,Mechanical Engineering Technologists and Technicians,modest,30,6,17,7,0,0.2,0,36190.0,1
29-1299.01,Naturopathic Physicians,modest,20,4,8,8,0,0.2,0,28630.0,1
17-2141.01,Fuel Cell Engineers,modest,26,5,14,7,0,0.192,0,296810.0,0
17-2051.01,Transportation Engineers,modest,26,5,13,8,1,0.192,0,367840.0,0
17-2131.00,Materials Engineers,modest,21,4,12,5,0,0.19,0,22770.0,0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",modest,32,6,21,5,0,0.188,0,23470.0,1
17-3013.00,Mechanical Drafters,modest,16,3,12,1,1,0.188,0,39960.0,0
11-9121.00,Natural Sciences Managers,modest,16,3,10,3,0,0.188,0,108690.0,0
29-1171.00,Nurse Practitioners,modest,27,5,14,8,0,0.185,0,323040.0,1
19-2041.03,Industrial Ecologists,modest,38,7,30,1,1,0.184,0,89250.0,1
19-1029.02,Molecular and Cellular Biologists,modest,22,4,10,8,0,0.182,0,55850.0,0
19-2099.01,Remote Sensing Scientists and Technologists,modest,24,4,13,7,1,0.167,0,22300.0,1
17-2121.00,Marine Engineers and Naval Architects,modest,30,5,12,13,1,0.167,0,8250.0,0
17-3012.00,Electrical and Electronics Drafters,modest,30,5,17,8,0,0.167,0,17920.0,0
17-2199.08,Robotics Engineers,modest,24,4,16,4,0,0.167,0,154070.0,1
17-2112.03,Manufacturing Engineers,modest,24,4,18,2,0,0.167,0,365740.0,1
11-9111.00,Medical and Health Services Managers,modest,18,3,13,2,0,0.167,0,597080.0,0
17-1022.00,Surveyors,modest,24,4,7,13,0,0.167,0,50830.0,0
17-3027.01,Automotive Engineering Technicians,modest,18,3,6,9,0,0.167,0,36190.0,0
17-3029.08,Photonics Technicians,modest,24,4,5,15,0,0.167,0,59930.0,0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,modest,18,3,2,13,0,0.167,0,220260.0,0
29-1223.00,Psychiatrists,modest,12,2,8,2,2,0.167,0,27980.0,1
19-1031.02,Range Managers,modest,18,3,8,7,0,0.167,0,25950.0,0
19-3032.00,Industrial-Organizational Psychologists,modest,25,4,13,8,2,0.16,0,790.0,1
17-2141.02,Automotive Engineers,modest,25,4,15,6,0,0.16,0,296810.0,1
19-2043.00,Hydrologists,modest,25,4,14,7,1,0.16,0,5850.0,1
29-9092.00,Genetic Counselors,modest,19,3,14,2,0,0.158,0,3740.0,1
11-9041.00,Architectural and Engineering Managers,modest,19,3,12,4,0,0.158,0,220260.0,0
17-2199.11,Solar Energy Systems Engineers,modest,13,2,8,3,0,0.154,0,154070.0,0
15-1299.05,Information Security Engineers,modest,20,3,15,2,0,0.15,0,435370.0,0
19-1023.00,Zoologists and Wildlife Biologists,modest,14,2,8,4,1,0.143,0,18120.0,0
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,modest,28,4,15,9,0,0.143,0,95130.0,0
29-2031.00,Cardiovascular Technologists and Technicians,modest,21,3,3,15,1,0.143,0,62960.0,1
17-2051.02,Water/Wastewater Engineers,modest,28,4,23,1,0,0.143,0,367840.0,1
11-9121.02,Water Resource Specialists,modest,21,3,14,4,0,0.143,0,108690.0,0
17-2081.00,Environmental Engineers,modest,29,4,18,7,0,0.138,0,38340.0,0
17-2071.00,Electrical Engineers,modest,22,3,10,9,0,0.136,0,198750.0,0
19-2041.00,"Environmental Scientists and Specialists, Including Health",modest,22,3,17,2,0,0.136,0,89250.0,1
19-3033.00,Clinical and Counseling Psychologists,modest,30,4,12,14,0,0.133,0,75990.0,0
17-3031.00,Surveying and Mapping Technicians,modest,30,4,9,17,2,0.133,0,58010.0,0
29-1229.05,Preventive Medicine Physicians,modest,15,2,10,3,0,0.133,0,342720.0,1
19-4051.02,Nuclear Monitoring Technicians,modest,16,2,4,10,4,0.125,0,6470.0,0
29-1151.00,Nurse Anesthetists,modest,24,3,4,17,0,0.125,0,51840.0,0
19-1041.00,Epidemiologists,modest,16,2,11,3,1,0.125,0,12090.0,1
19-1021.00,Biochemists and Biophysicists,modest,24,3,15,6,1,0.125,0,33830.0,1
19-4031.00,Chemical Technicians,modest,16,2,5,9,0,0.125,0,57540.0,0
17-2051.00,Civil Engineers,modest,16,2,9,5,1,0.125,0,367840.0,0
29-2033.00,Nuclear Medicine Technologists,modest,17,2,3,12,1,0.118,0,17080.0,1
17-2112.01,Human Factors Engineers and Ergonomists,modest,26,3,20,3,1,0.115,0,365740.0,0
29-1141.01,Acute Care Nurses,modest,27,3,15,9,0,0.111,0,3379720.0,1
19-4021.00,Biological Technicians,modest,18,2,4,12,0,0.111,0,69620.0,0
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,modest,28,3,10,15,1,0.107,0,15520.0,0
29-1031.00,Dietitians and Nutritionists,modest,28,3,17,8,0,0.107,0,77570.0,1
29-2036.00,Medical Dosimetrists,modest,19,2,9,8,0,0.105,0,3410.0,1
17-3026.00,Industrial Engineering Technologists and Technicians,modest,30,3,16,11,0,0.1,0,75570.0,0
19-3091.00,Anthropologists and Archeologists,modest,30,3,18,9,1,0.1,0,8990.0,0
29-1129.02,Music Therapists,modest,30,3,19,8,0,0.1,0,22640.0,1
29-2011.01,Cytogenetic Technologists,modest,30,3,11,16,0,0.1,0,332940.0,1
19-4071.00,Forest and Conservation Technicians,modest,20,2,3,15,4,0.1,0,30410.0,0
29-1051.00,Pharmacists,modest,21,2,15,4,0,0.095,0,321970.0,1
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",modest,21,2,8,11,0,0.095,0,162450.0,1
29-2081.00,"Opticians, Dispensing",modest,21,2,8,11,0,0.095,0,73530.0,1
29-1131.00,Veterinarians,modest,21,2,8,11,0,0.095,0,83900.0,1
29-1124.00,Radiation Therapists,modest,22,2,4,16,0,0.091,0,17070.0,1
29-2061.00,Licensed Practical and Licensed Vocational Nurses,modest,22,2,4,16,0,0.091,0,648410.0,1
29-1181.00,Audiologists,modest,22,2,11,9,0,0.091,0,13660.0,1
29-2092.00,Hearing Aid Specialists,modest,11,1,2,8,0,0.091,0,11270.0,0
17-2171.00,Petroleum Engineers,modest,23,2,14,7,1,0.087,0,18060.0,0
17-2199.05,Mechatronics Engineers,modest,23,2,17,4,0,0.087,0,154070.0,0
17-3025.00,Environmental Engineering Technologists and Technicians,modest,23,2,12,9,0,0.087,0,12190.0,0
29-9091.00,Athletic Trainers,modest,23,2,13,8,1,0.087,0,30500.0,1
29-1127.00,Speech-Language Pathologists,modest,23,2,12,9,0,0.087,0,183390.0,1
19-4092.00,Forensic Science Technicians,modest,24,2,2,20,2,0.083,0,19120.0,0
29-1215.00,Family Medicine Physicians,modest,12,1,8,3,0,0.083,0,107510.0,1
29-2042.00,Emergency Medical Technicians,modest,12,1,4,7,0,0.083,0,180510.0,0
29-1129.01,Art Therapists,modest,25,2,17,6,2,0.08,0,22640.0,1
19-4042.00,"Environmental Science and Protection Technicians, Including Health",modest,25,2,9,14,0,0.08,0,34670.0,0
19-1012.00,Food Scientists and Technologists,modest,13,1,9,3,1,0.077,0,13060.0,0
29-2011.02,Cytotechnologists,modest,13,1,3,9,0,0.077,0,332940.0,1
29-2043.00,Paramedics,modest,13,1,5,7,1,0.077,0,100610.0,0
29-1011.00,Chiropractors,modest,13,1,7,5,0,0.077,0,39630.0,1
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",modest,27,2,15,10,0,0.074,0,21450.0,0
19-1022.00,Microbiologists,modest,14,1,6,7,1,0.071,0,18940.0,0
19-3039.02,Neuropsychologists,modest,14,1,8,5,0,0.071,0,18820.0,0
17-2011.00,Aerospace Engineers,modest,14,1,10,3,1,0.071,0,67710.0,0
17-2041.00,Chemical Engineers,modest,14,1,10,3,2,0.071,0,21070.0,0
17-2021.00,Agricultural Engineers,modest,14,1,10,3,2,0.071,0,1480.0,0
15-2011.00,Actuaries,modest,15,1,12,2,1,0.067,0,26670.0,0
29-2011.00,Medical and Clinical Laboratory Technologists,modest,15,1,4,10,1,0.067,0,332940.0,1
29-2034.00,Radiologic Technologists and Technicians,modest,30,2,10,18,0,0.067,0,230490.0,1
29-1218.00,Obstetricians and Gynecologists,modest,15,1,8,6,0,0.067,0,21260.0,1
29-2091.00,Orthotists and Prosthetists,modest,15,1,5,9,0,0.067,0,9390.0,1
29-2056.00,Veterinary Technologists and Technicians,modest,31,2,5,24,0,0.065,0,129140.0,0
29-1292.00,Dental Hygienists,modest,16,1,4,11,0,0.062,0,222740.0,1
29-2053.00,Psychiatric Technicians,modest,16,1,5,10,0,0.062,0,156960.0,0
29-1071.01,Anesthesiologist Assistants,modest,16,1,2,13,0,0.062,0,162150.0,0
29-1229.01,Allergists and Immunologists,modest,16,1,12,3,0,0.062,0,342720.0,1
17-2199.10,Wind Energy Engineers,modest,16,1,10,5,4,0.062,0,154070.0,0
29-1221.00,"Pediatricians, General",modest,17,1,9,7,0,0.059,0,39390.0,1
19-3039.03,Clinical Neuropsychologists,modest,18,1,10,7,1,0.056,0,18820.0,0
29-9099.01,Midwives,modest,36,2,17,17,1,0.056,0,35010.0,1
29-2055.00,Surgical Technologists,modest,18,1,2,15,0,0.056,0,117460.0,0
29-1213.00,Dermatologists,modest,18,1,12,5,0,0.056,0,11370.0,1
19-4051.00,Nuclear Technicians,modest,18,1,5,12,0,0.056,0,6470.0,0
19-3034.00,School Psychologists,modest,19,1,13,5,2,0.053,0,63940.0,0
29-1222.00,"Physicians, Pathologists",modest,19,1,10,8,0,0.053,0,11110.0,1
29-2032.00,Diagnostic Medical Sonographers,modest,19,1,6,12,0,0.053,0,90160.0,1
29-1216.00,General Internal Medicine Physicians,modest,19,1,11,7,0,0.053,0,67150.0,1
29-1021.00,"Dentists, General",modest,20,1,5,14,1,0.05,0,124390.0,0
29-1161.00,Nurse Midwives,modest,21,1,13,7,2,0.048,0,7920.0,1
17-3024.01,Robotics Technicians,modest,22,1,9,12,0,0.045,0,15520.0,0
29-1123.00,Physical Therapists,modest,24,1,15,8,0,0.042,0,267330.0,1
29-2035.00,Magnetic Resonance Imaging Technologists,modest,24,1,7,16,0,0.042,0,43390.0,1
29-1141.02,Advanced Practice Psychiatric Nurses,modest,24,1,15,8,1,0.042,0,3379720.0,1
29-1217.00,Neurologists,modest,24,1,18,5,0,0.042,0,10590.0,1
29-1212.00,Cardiologists,modest,25,1,12,12,0,0.04,0,17290.0,0
29-1128.00,Exercise Physiologists,modest,25,1,12,12,3,0.04,0,8560.0,1
19-1032.00,Foresters,modest,25,1,11,13,0,0.04,0,10430.0,0
29-1229.06,Sports Medicine Physicians,modest,27,1,20,6,2,0.037,0,342720.0,1
29-1141.03,Critical Care Nurses,modest,29,1,9,19,0,0.034,0,3379720.0,1
19-1031.00,Conservation Scientists,modest,30,1,21,8,0,0.033,0,25950.0,0
29-1141.04,Clinical Nurse Specialists,modest,30,1,20,9,1,0.033,0,3379720.0,1
29-1224.00,Radiologists,modest,30,1,19,10,0,0.033,0,26770.0,1
29-2099.05,Ophthalmic Medical Technologists,modest,31,1,3,27,0,0.032,0,182610.0,0
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",modest,29,0,14,15,0,0.0,0,6980.0,0
29-1299.02,Orthoptists,modest,16,0,11,5,0,0.0,0,28630.0,0
29-2099.01,Neurodiagnostic Technologists,modest,16,0,7,9,0,0.0,0,182610.0,1
29-1126.00,Respiratory Therapists,modest,23,0,7,16,0,0.0,0,139790.0,1
29-1141.00,Registered Nurses,modest,27,0,15,12,0,0.0,0,3379720.0,1
29-1071.00,Physician Assistants,modest,12,0,8,4,1,0.0,0,162150.0,1
29-1081.00,Podiatrists,modest,11,0,6,5,0,0.0,0,9680.0,0
29-2051.00,Dietetic Technicians,modest,13,0,10,3,0,0.0,0,31560.0,1
17-3029.01,Non-Destructive Testing Specialists,modest,16,0,5,11,1,0.0,0,59930.0,0
17-1021.00,Cartographers and Photogrammetrists,modest,14,0,7,7,2,0.0,0,14260.0,0
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,modest,11,0,4,7,1,0.0,0,11280.0,0
29-2011.04,Histotechnologists,modest,16,0,3,13,2,0.0,0,332940.0,0
29-2012.00,Medical and Clinical Laboratory Technicians,modest,14,0,4,10,0,0.0,0,332940.0,1
29-1211.00,Anesthesiologists,modest,20,0,11,9,0,0.0,0,38760.0,1
19-2031.00,Chemists,modest,12,0,6,6,0,0.0,0,82770.0,0
29-1214.00,Emergency Medicine Physicians,modest,17,0,10,7,2,0.0,0,32880.0,1
29-1243.00,Pediatric Surgeons,modest,18,0,9,9,0,0.0,0,1190.0,1
29-1291.00,Acupuncturists,modest,18,0,7,11,0,0.0,0,7830.0,0
29-1023.00,Orthodontists,modest,11,0,6,5,0,0.0,0,6210.0,1
29-1122.00,Occupational Therapists,modest,17,0,12,5,1,0.0,0,162450.0,1
29-1229.03,Urologists,modest,14,0,6,8,0,0.0,0,342720.0,0
29-1229.04,Physical Medicine and Rehabilitation Physicians,modest,15,0,9,6,1,0.0,0,342720.0,1
29-1241.00,"Ophthalmologists, Except Pediatric",modest,18,0,13,5,0,0.0,0,8950.0,1
29-1242.00,"Orthopedic Surgeons, Except Pediatric",modest,15,0,8,7,0,0.0,0,14100.0,1
29-1125.00,Recreational Therapists,modest,11,0,8,3,0,0.0,0,14930.0,1
29-1022.00,Oral and Maxillofacial Surgeons,modest,15,0,2,13,1,0.0,0,4910.0,0
19-4013.00,Food Science Technicians,modest,16,0,3,13,0,0.0,0,14600.0,0
29-9093.00,Surgical Assistants,modest,28,0,3,25,0,0.0,0,22270.0,0
29-1041.00,Optometrists,modest,10,0,4,6,0,0.0,0,42790.0,1
29-2057.00,Ophthalmic Medical Technicians,modest,20,0,2,18,2,0.0,0,71010.0,0
29-1024.00,Prosthodontists,modest,12,0,1,11,2,0.0,0,870.0,0
29-2012.01,Histology Technicians,modest,8,0,0,8,1,0.0,0,332940.0,0
15-1255.00,Web and Digital Interface Designers,substantial,30,30,0,0,1,1.0,1,113330.0,0
15-1299.02,Geographic Information Systems Technologists and Technicians,substantial,29,29,0,0,1,1.0,1,435370.0,1
15-2021.00,Mathematicians,substantial,12,12,0,0,0,1.0,1,2030.0,1
15-2051.01,Business Intelligence Analysts,substantial,17,17,0,0,0,1.0,1,262440.0,1
15-1211.01,Health Informatics Specialists,substantial,17,17,0,0,0,1.0,1,519530.0,0
15-1243.01,Data Warehousing Specialists,substantial,18,18,0,0,0,1.0,1,67140.0,0
15-2041.01,Biostatisticians,substantial,25,24,1,0,0,0.96,1,29030.0,1
15-1255.01,Video Game Designers,substantial,24,23,1,0,0,0.958,1,113330.0,0
15-1299.03,Document Management Specialists,substantial,23,22,1,0,0,0.957,1,435370.0,0
19-3011.01,Environmental Economists,substantial,20,19,0,1,0,0.95,1,17790.0,1
15-1242.00,Database Administrators,substantial,18,17,1,0,0,0.944,1,69990.0,0
15-1299.01,Web Administrators,substantial,35,33,1,1,0,0.943,1,435370.0,0
15-2051.00,Data Scientists,substantial,16,15,1,0,1,0.938,1,262440.0,0
15-1254.00,Web Developers,substantial,29,27,0,2,0,0.931,1,70190.0,0
19-2041.01,Climate Change Policy Analysts,substantial,14,13,1,0,0,0.929,1,89250.0,0
15-1243.00,Database Architects,substantial,25,23,1,1,0,0.92,1,67140.0,0
15-1211.00,Computer Systems Analysts,substantial,22,20,2,0,1,0.909,1,519530.0,0
15-1212.00,Information Security Analysts,substantial,11,10,1,0,0,0.909,1,190650.0,0
15-2051.02,Clinical Data Managers,substantial,21,19,2,0,0,0.905,1,262440.0,0
15-2041.00,Statisticians,substantial,19,17,2,0,0,0.895,1,29030.0,0
15-2031.00,Operations Research Analysts,substantial,17,15,2,0,0,0.882,1,108510.0,0
15-1241.00,Computer Network Architects,substantial,33,29,3,1,0,0.879,1,179740.0,0
19-2041.03,Industrial Ecologists,substantial,38,33,5,0,1,0.868,1,89250.0,1
15-1299.05,Information Security Engineers,substantial,20,17,3,0,0,0.85,1,435370.0,0
41-4011.07,Solar Sales Representatives and Assessors,substantial,13,11,1,1,1,0.846,1,284800.0,0
15-1253.00,Software Quality Assurance Analysts and Testers,substantial,30,25,3,2,0,0.833,1,186740.0,0
15-1299.07,Blockchain Engineers,substantial,17,14,3,0,1,0.824,1,435370.0,0
15-1251.00,Computer Programmers,substantial,17,14,3,0,0,0.824,1,92230.0,0
29-2072.00,Medical Records Specialists,substantial,16,13,2,1,0,0.812,1,194720.0,1
19-1029.01,Bioinformatics Scientists,substantial,20,16,2,2,0,0.8,1,55850.0,1
19-3051.00,Urban and Regional Planners,substantial,25,20,4,1,0,0.8,1,44230.0,1
15-1221.00,Computer and Information Research Scientists,substantial,15,12,3,0,0,0.8,1,37200.0,0
15-1299.06,Digital Forensics Analysts,substantial,20,16,3,1,0,0.8,1,435370.0,0
15-1299.08,Computer Systems Engineers/Architects,substantial,28,22,5,1,0,0.786,1,435370.0,0
19-1011.00,Animal Scientists,substantial,9,7,1,1,0,0.778,1,3100.0,0
15-1299.04,Penetration Testers,substantial,22,17,5,0,0,0.773,1,435370.0,1
15-1252.00,Software Developers,substantial,17,13,4,0,0,0.765,1,1687890.0,0
15-1299.09,Information Technology Project Managers,substantial,21,16,5,0,0,0.762,1,435370.0,0
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",substantial,33,25,6,2,0,0.758,1,284800.0,0
15-1232.00,Computer User Support Specialists,substantial,16,12,2,2,0,0.75,1,717190.0,0
15-1244.00,Network and Computer Systems Administrators,substantial,20,15,4,1,0,0.75,1,314340.0,0
17-2112.00,Industrial Engineers,substantial,20,15,4,1,0,0.75,1,365740.0,1
17-2072.00,"Electronics Engineers, Except Computer",substantial,20,15,2,3,0,0.75,1,96900.0,1
19-2021.00,Atmospheric and Space Scientists,substantial,27,20,4,3,0,0.741,1,10000.0,1
15-2099.01,Bioinformatics Technicians,substantial,19,14,5,0,1,0.737,1,3720.0,0
17-1012.00,Landscape Architects,substantial,19,14,2,3,3,0.737,1,19600.0,0
17-2031.00,Bioengineers and Biomedical Engineers,substantial,30,22,7,1,0,0.733,1,23480.0,1
15-1241.01,Telecommunications Engineering Specialists,substantial,26,19,4,3,0,0.731,1,179740.0,0
17-3011.00,Architectural and Civil Drafters,substantial,26,19,4,3,1,0.731,1,103700.0,1
19-4061.00,Social Science Research Assistants,substantial,22,16,5,1,1,0.727,1,30640.0,1
19-4012.01,Precision Agriculture Technicians,substantial,22,16,3,3,1,0.727,1,15130.0,1
19-3099.01,Transportation Planners,substantial,22,16,5,1,0,0.727,1,37100.0,1
41-9031.00,Sales Engineers,substantial,25,18,5,2,0,0.72,1,51790.0,0
19-3094.00,Political Scientists,substantial,14,10,3,1,0,0.714,1,5540.0,1
11-3021.00,Computer and Information Systems Managers,substantial,17,12,5,0,0,0.706,1,670570.0,0
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",substantial,23,16,6,1,0,0.696,1,11300.0,0
29-9021.00,Health Information Technologists and Medical Registrars,substantial,16,11,3,2,0,0.688,1,38100.0,1
19-4044.00,Hydrologic Technicians,substantial,16,11,1,4,0,0.688,1,2840.0,1
19-2012.00,Physicists,substantial,16,11,3,2,0,0.688,1,20430.0,1
25-1031.00,"Architecture Teachers, Postsecondary",substantial,22,15,6,1,0,0.682,1,7700.0,0
25-1063.00,"Economics Teachers, Postsecondary",substantial,22,15,6,1,0,0.682,1,11560.0,0
25-1065.00,"Political Science Teachers, Postsecondary",substantial,22,15,6,1,0,0.682,1,16970.0,0
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",substantial,25,17,7,1,1,0.68,1,1520.0,0
25-1053.00,"Environmental Science Teachers, Postsecondary",substantial,25,17,7,1,0,0.68,1,6690.0,0
25-1032.00,"Engineering Teachers, Postsecondary",substantial,24,16,7,1,0,0.667,1,40270.0,0
25-1042.00,"Biological Science Teachers, Postsecondary",substantial,27,18,7,2,1,0.667,1,50190.0,0
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",substantial,27,18,7,2,0,0.667,1,5240.0,0
