onet_soc_code,title,susceptibility,total_employment,neighbours,best_relief,reason
19-4051.00,Nuclear Technicians,47.5,6470.0,5,-1.6,every close neighbour is about as exposed
19-4092.00,Forensic Science Technicians,46.9,19120.0,25,-2.2,every close neighbour is about as exposed
29-1212.00,Cardiologists,46.6,17290.0,73,16.1,every close neighbour is about as exposed
29-1229.03,Urologists,45.3,342720.0,63,9.5,every close neighbour is about as exposed
29-1291.00,Acupuncturists,42.3,7830.0,44,0.9,every close neighbour is about as exposed
29-1151.00,Nurse Anesthetists,41.7,51840.0,79,11.9,every close neighbour is about as exposed
29-2011.04,Histotechnologists,41.4,332940.0,10,6.8,every close neighbour is about as exposed
29-2053.00,Psychiatric Technicians,41.4,156960.0,66,10.9,every close neighbour is about as exposed
29-2042.00,Emergency Medical Technicians,41.0,180510.0,55,11.2,every close neighbour is about as exposed
29-2099.05,Ophthalmic Medical Technologists,39.2,182610.0,66,8.7,every close neighbour is about as exposed
29-2043.00,Paramedics,38.7,100610.0,61,8.9,every close neighbour is about as exposed
29-2056.00,Veterinary Technologists and Technicians,38.7,129140.0,64,8.9,every close neighbour is about as exposed
29-2092.00,Hearing Aid Specialists,38.7,11270.0,24,2.2,every close neighbour is about as exposed
29-2055.00,Surgical Technologists,38.6,117460.0,32,8.1,every close neighbour is about as exposed
29-2057.00,Ophthalmic Medical Technicians,36.7,71010.0,40,6.2,every close neighbour is about as exposed
29-1021.00,"Dentists, General",36.5,124390.0,45,6.7,every close neighbour is about as exposed
29-1071.01,Anesthesiologist Assistants,35.8,162150.0,62,5.3,every close neighbour is about as exposed
29-2012.01,Histology Technicians,34.6,332940.0,5,-6.8,every close neighbour is about as exposed
29-9093.00,Surgical Assistants,30.5,22270.0,52,0.7,every close neighbour is about as exposed
29-1024.00,Prosthodontists,30.2,870.0,5,0.4,every close neighbour is about as exposed
29-1022.00,Oral and Maxillofacial Surgeons,29.8,4910.0,31,-0.4,every close neighbour is about as exposed
