onet_soc_code,title,susceptibility,total_employment,destination_code,destination,destination_susceptibility,relief,overlap,shared_activities,shared_protected,carries_exposure,verdict
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",49.3,162450.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,19.5,0.242,3,3,0,Real move
29-1081.00,Podiatrists,48.8,9680.0,29-1021.00,"Dentists, General",36.5,12.3,0.287,5,5,0,Real move
29-1141.01,Acute Care Nurses,48.8,3379720.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,19.0,0.378,6,6,0,Real move
29-1218.00,Obstetricians and Gynecologists,48.6,21260.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,18.8,0.218,3,3,0,Real move
29-2011.02,Cytotechnologists,48.5,332940.0,29-1071.01,Anesthesiologist Assistants,35.8,12.7,0.202,3,2,1,Real move
29-2081.00,"Opticians, Dispensing",48.4,73530.0,29-1071.01,Anesthesiologist Assistants,35.8,12.6,0.172,3,3,0,Real move
29-1221.00,"Pediatricians, General",48.3,39390.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,18.5,0.208,3,3,0,Real move
29-1161.00,Nurse Midwives,48.2,7920.0,29-1071.01,Anesthesiologist Assistants,35.8,12.4,0.202,4,3,1,Real move
29-1241.00,"Ophthalmologists, Except Pediatric",47.9,8950.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,18.1,0.229,3,3,0,Real move
29-1141.00,Registered Nurses,47.7,3379720.0,29-9093.00,Surgical Assistants,30.5,17.2,0.285,9,9,0,Real move
29-1242.00,"Orthopedic Surgeons, Except Pediatric",47.4,14100.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,17.6,0.224,3,3,0,Real move
29-1214.00,Emergency Medicine Physicians,47.2,32880.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,17.4,0.306,4,4,0,Real move
29-2032.00,Diagnostic Medical Sonographers,47.2,90160.0,29-9093.00,Surgical Assistants,30.5,16.7,0.346,10,10,0,Real move
29-2033.00,Nuclear Medicine Technologists,47.2,17080.0,29-2012.01,Histology Technicians,34.6,12.6,0.293,3,3,0,Real move
29-2012.00,Medical and Clinical Laboratory Technicians,47.1,332940.0,29-2012.01,Histology Technicians,34.6,12.5,0.39,4,4,0,Real move
29-2011.00,Medical and Clinical Laboratory Technologists,46.9,332940.0,29-2012.01,Histology Technicians,34.6,12.3,0.447,4,4,0,Real move
29-1243.00,Pediatric Surgeons,45.9,1190.0,29-9093.00,Surgical Assistants,30.5,15.4,0.164,4,4,0,Real move
29-1041.00,Optometrists,45.7,42790.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,15.9,0.277,3,3,0,Real move
29-9099.01,Midwives,45.4,35010.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,15.6,0.299,5,5,0,Real move
29-2034.00,Radiologic Technologists and Technicians,45.3,230490.0,29-9093.00,Surgical Assistants,30.5,14.8,0.255,7,7,0,Real move
29-2035.00,Magnetic Resonance Imaging Technologists,44.8,43390.0,29-9093.00,Surgical Assistants,30.5,14.3,0.231,6,6,0,Real move
29-2099.01,Neurodiagnostic Technologists,44.6,182610.0,29-9093.00,Surgical Assistants,30.5,14.1,0.227,5,5,0,Real move
29-1023.00,Orthodontists,44.5,6210.0,29-1024.00,Prosthodontists,30.2,14.3,0.385,4,4,0,Real move
29-1229.04,Physical Medicine and Rehabilitation Physicians,44.1,342720.0,29-1022.00,Oral and Maxillofacial Surgeons,29.8,14.3,0.267,3,3,0,Real move
29-1211.00,Anesthesiologists,43.9,38760.0,29-9093.00,Surgical Assistants,30.5,13.4,0.314,8,8,0,Real move
29-2031.00,Cardiovascular Technologists and Technicians,43.6,62960.0,29-9093.00,Surgical Assistants,30.5,13.1,0.333,9,9,0,Real move
29-2061.00,Licensed Practical and Licensed Vocational Nurses,43.3,648410.0,29-9093.00,Surgical Assistants,30.5,12.8,0.364,10,10,0,Real move
29-1124.00,Radiation Therapists,43.2,17070.0,29-9093.00,Surgical Assistants,30.5,12.7,0.327,9,9,0,Real move
29-1292.00,Dental Hygienists,43.2,222740.0,29-9093.00,Surgical Assistants,30.5,12.7,0.149,3,3,0,Real move
29-1141.03,Critical Care Nurses,42.9,3379720.0,29-9093.00,Surgical Assistants,30.5,12.4,0.301,9,9,0,Real move
29-2091.00,Orthotists and Prosthetists,42.9,9390.0,29-1024.00,Prosthodontists,30.2,12.7,0.356,4,4,0,Real move
29-1126.00,Respiratory Therapists,42.7,139790.0,29-9093.00,Surgical Assistants,30.5,12.2,0.37,10,10,0,Real move
