onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,susceptibility,exposure,anchoring,deployment_gap,share_tasks_high_susceptibility,share_largely_automatable,share_human_anchored,quadrant
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners",4,28,63.0,70.9,44.9,41.6,0.25,0.0,0.143,Contested
17-2141.02,Automotive Engineers,"Research, Development, Design, and Practitioners",4,25,63.0,68.3,42.2,38.2,0.28,0.08,0.0,Displaceable
17-3012.00,Electrical and Electronics Drafters,Technologists and Technicians,3,30,63.0,63.1,37.1,26.8,0.267,0.133,0.067,Insulated
19-1029.03,Geneticists,"Research, Development, Design, and Practitioners",5,24,63.0,69.1,43.1,38.2,0.208,0.042,0.125,Displaceable
17-1022.01,Geodetic Surveyors,Technologists and Technicians,4,16,62.9,60.3,34.5,7.9,0.312,0.375,0.0,Insulated
11-9121.02,Water Resource Specialists,Managerial,4,21,62.8,69.6,44.1,36.9,0.333,0.143,0.095,Contested
19-4099.01,Quality Control Analysts,Technologists and Technicians,3,26,62.8,66.0,40.4,25.1,0.423,0.192,0.154,Displaceable
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners",4,21,62.7,64.6,39.1,28.9,0.381,0.048,0.0,Insulated
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners",4,21,62.7,64.7,39.2,28.4,0.333,0.143,0.0,Insulated
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners",4,32,62.7,66.9,41.5,32.7,0.25,0.031,0.0,Displaceable
17-3013.00,Mechanical Drafters,Technologists and Technicians,3,16,62.6,59.2,33.9,18.8,0.188,0.125,0.062,Insulated
19-2032.00,Materials Scientists,"Research, Development, Design, and Practitioners",4,16,62.4,66.8,42.1,30.0,0.312,0.0,0.062,Displaceable
11-9121.00,Natural Sciences Managers,Managerial,5,16,62.3,70.0,45.4,40.9,0.188,0.062,0.188,Contested
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners",4,15,62.3,73.1,48.5,45.6,0.4,0.133,0.533,Contested
17-3027.00,Mechanical Engineering Technologists and Technicians,Technologists and Technicians,3,30,62.3,61.1,36.5,18.6,0.333,0.067,0.0,Insulated
17-2199.06,Microsystems Engineers,"Research, Development, Design, and Practitioners",5,31,62.2,66.4,42.0,33.3,0.226,0.0,0.0,Displaceable
17-2199.08,Robotics Engineers,"Research, Development, Design, and Practitioners",4,24,62.2,65.4,40.9,30.8,0.292,0.125,0.042,Displaceable
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",5,25,62.1,67.7,43.5,35.1,0.32,0.0,0.12,Contested
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,14,62.0,68.8,44.8,39.5,0.143,0.071,0.0,Contested
17-2141.01,Fuel Cell Engineers,"Research, Development, Design, and Practitioners",4,26,62.0,66.4,42.5,34.6,0.231,0.038,0.0,Displaceable
11-9111.00,Medical and Health Services Managers,Managerial,4,18,61.8,66.9,43.3,35.1,0.222,0.167,0.333,Displaceable
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners",4,18,61.8,67.0,43.5,33.6,0.333,0.167,0.222,Contested
17-2081.00,Environmental Engineers,"Research, Development, Design, and Practitioners",4,29,61.7,67.4,43.9,36.3,0.276,0.103,0.103,Contested
17-2112.01,Human Factors Engineers and Ergonomists,"Research, Development, Design, and Practitioners",5,26,61.7,70.6,47.1,43.2,0.154,0.0,0.077,Contested
19-2041.02,Environmental Restoration Planners,"Research, Development, Design, and Practitioners",5,23,61.7,71.4,47.9,44.9,0.261,0.043,0.0,Contested
19-1031.03,Park Naturalists,"Research, Development, Design, and Practitioners",4,20,61.3,62.9,40.2,22.1,0.45,0.25,0.1,Insulated
19-1041.00,Epidemiologists,"Research, Development, Design, and Practitioners",5,16,61.3,70.7,48.2,45.3,0.312,0.0,0.312,Contested
29-9092.00,Genetic Counselors,"Research, Development, Design, and Practitioners",5,19,61.2,76.3,53.9,50.9,0.211,0.0,0.526,Contested
17-2161.00,Nuclear Engineers,"Research, Development, Design, and Practitioners",4,20,61.1,67.7,45.4,36.9,0.4,0.0,0.1,Contested
19-2043.00,Hydrologists,"Research, Development, Design, and Practitioners",4,25,61.1,66.0,43.9,33.6,0.24,0.08,0.12,Contested
19-3034.00,School Psychologists,"Research, Development, Design, and Practitioners",5,19,61.0,68.2,46.3,39.8,0.368,0.053,0.263,Contested
19-4044.00,Hydrologic Technicians,Technologists and Technicians,3,16,61.0,62.2,40.3,24.0,0.438,0.25,0.062,Insulated
17-2141.00,Mechanical Engineers,"Research, Development, Design, and Practitioners",4,28,60.7,65.5,44.2,35.9,0.25,0.071,0.036,Contested
17-2199.05,Mechatronics Engineers,"Research, Development, Design, and Practitioners",4,23,60.7,63.4,42.1,33.6,0.217,0.087,0.043,Insulated
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Technologists and Technicians,3,28,60.7,60.3,38.9,25.6,0.321,0.179,0.036,Insulated
19-1023.00,Zoologists and Wildlife Biologists,"Research, Development, Design, and Practitioners",4,14,60.4,65.2,44.4,33.0,0.143,0.0,0.071,Human-anchored
11-9041.00,Architectural and Engineering Managers,Managerial,5,19,60.2,68.3,47.9,41.8,0.263,0.053,0.263,Contested
17-2051.01,Transportation Engineers,"Research, Development, Design, and Practitioners",4,26,60.2,65.9,45.6,35.7,0.192,0.0,0.115,Contested
19-3092.00,Geographers,"Research, Development, Design, and Practitioners",4,12,60.0,61.4,41.4,29.8,0.25,0.083,0.083,Insulated
17-2131.00,Materials Engineers,"Research, Development, Design, and Practitioners",4,21,59.9,63.6,43.9,31.3,0.238,0.048,0.095,Human-anchored
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,14,59.8,63.0,43.5,31.7,0.143,0.143,0.0,Human-anchored
