soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
19-2041,"Environmental Scientists and Specialists, Including Health",4,19-2041.01;19-2041.03;19-2041.00;19-2041.02,89250.0,91680.0,82220.0,65.4,3.6,72.3,41.6,43.6,Displaceable,8182440000,"Research, Development, Design, and Practitioners"
29-1131,Veterinarians,1,29-1131.00,83900.0,142680.0,130100.0,47.7,0.0,51.1,55.8,33.1,Human-anchored,11970852000,"Research, Development, Design, and Practitioners"
19-2031,Chemists,1,19-2031.00,82770.0,100450.0,91240.0,53.3,0.0,51.2,44.6,17.6,Human-anchored,8314246500,"Research, Development, Design, and Practitioners"
25-1072,"Nursing Instructors and Teachers, Postsecondary",1,25-1072.00,77960.0,86410.0,80250.0,65.1,0.0,69.5,39.3,38.3,Displaceable,6736523600,Postsecondary Teaching
29-1031,Dietitians and Nutritionists,1,29-1031.00,77570.0,77130.0,76400.0,57.6,0.0,65.1,50.0,39.7,Contested,5982974100,"Research, Development, Design, and Practitioners"
17-2061,Computer Hardware Engineers,1,17-2061.00,76660.0,162670.0,161740.0,64.0,0.0,65.7,37.7,30.0,Displaceable,12470282200,"Research, Development, Design, and Practitioners"
19-3033,Clinical and Counseling Psychologists,1,19-3033.00,75990.0,112750.0,100580.0,55.0,0.0,61.7,51.7,38.1,Human-anchored,8567872500,"Research, Development, Design, and Practitioners"
17-3026,Industrial Engineering Technologists and Technicians,2,17-3026.00;17-3026.01,75570.0,70700.0,66120.0,56.4,2.3,52.1,39.4,13.9,Insulated,5342799000,Technologists and Technicians
19-4099,"Life, Physical, and Social Science Technicians, All Other",2,19-4099.03;19-4099.01,73910.0,66280.0,62280.0,63.5,1.6,62.0,35.0,19.5,Insulated,4898754800,Technologists and Technicians
29-2081,"Opticians, Dispensing",1,29-2081.00,73530.0,51770.0,47260.0,48.4,0.0,46.8,50.0,14.2,Human-anchored,3806648100,Technologists and Technicians
29-2057,Ophthalmic Medical Technicians,1,29-2057.00,71010.0,47060.0,45570.0,36.7,0.0,28.8,55.3,-5.5,Human-anchored,3341730600,Technologists and Technicians
15-1254,Web Developers,1,15-1254.00,70190.0,98770.0,92650.0,74.8,0.0,77.2,27.6,26.0,Displaceable,6932666300,"Research, Development, Design, and Practitioners"
15-1242,Database Administrators,1,15-1242.00,69990.0,110090.0,104620.0,76.5,0.0,78.9,25.9,25.0,Displaceable,7705199100,"Research, Development, Design, and Practitioners"
19-4021,Biological Technicians,1,19-4021.00,69620.0,61380.0,57510.0,54.2,0.0,44.7,36.3,2.5,Insulated,4273275600,Technologists and Technicians
17-3022,Civil Engineering Technologists and Technicians,1,17-3022.00,68520.0,68990.0,64950.0,63.0,0.0,63.9,37.9,24.5,Displaceable,4727194800,Technologists and Technicians
17-2011,Aerospace Engineers,1,17-2011.00,67710.0,142060.0,134960.0,59.8,0.0,60.3,40.7,27.4,Insulated,9618882600,"Research, Development, Design, and Practitioners"
29-1216,General Internal Medicine Physicians,1,29-1216.00,67150.0,267200.0,256560.0,50.4,0.0,60.3,59.5,41.6,Human-anchored,17942480000,"Research, Development, Design, and Practitioners"
15-1243,Database Architects,2,15-1243.01;15-1243.00,67140.0,144440.0,139500.0,75.6,0.2,79.7,28.6,34.1,Displaceable,9697701600,"Research, Development, Design, and Practitioners"
19-3034,School Psychologists,1,19-3034.00,63940.0,99160.0,95990.0,59.7,0.0,63.9,44.6,37.2,Contested,6340290400,"Research, Development, Design, and Practitioners"
29-2031,Cardiovascular Technologists and Technicians,1,29-2031.00,62960.0,76940.0,74310.0,43.6,0.0,41.5,54.4,11.5,Human-anchored,4844142400,Technologists and Technicians
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",2,17-3029.01;17-3029.08,59930.0,80960.0,78350.0,51.5,1.9,41.5,38.5,-2.2,Insulated,4851932800,Technologists and Technicians
17-3031,Surveying and Mapping Technicians,1,17-3031.00,58010.0,58000.0,54240.0,56.7,0.0,46.8,33.4,-4.3,Insulated,3364580000,Technologists and Technicians
